GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,CountryYear,Comments
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1990,1990,,SEAR,South-East Asia,,BTN,Bhutan,,AGE25-PLUS,25+,,MLE,Male,,123.5 [116.7-130.4],123.5,116.7,130.4,Bhutan1990,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1991,1991,,SEAR,South-East Asia,,BTN,Bhutan,,AGE25-PLUS,25+,,MLE,Male,,123.7 [116.9-130.7],123.7,116.9,130.7,Bhutan1991,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1996,1996,,SEAR,South-East Asia,,BTN,Bhutan,,AGE25-PLUS,25+,,MLE,Male,,124.7 [117.6-131.8],124.7,117.6,131.8,Bhutan1996,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1997,1997,,SEAR,South-East Asia,,BTN,Bhutan,,AGE25-PLUS,25+,,MLE,Male,,124.9 [117.8-132.0],124.9,117.8,132,Bhutan1997,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,BTN,Bhutan,,AGE25-PLUS,25+,,MLE,Male,,125.1 [118.0-132.1],125.1,118,132.1,Bhutan1998,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1999,1999,,SEAR,South-East Asia,,BTN,Bhutan,,AGE25-PLUS,25+,,MLE,Male,,125.2 [118.4-132.1],125.2,118.4,132.1,Bhutan1999,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,BTN,Bhutan,,AGE25-PLUS,25+,,MLE,Male,,125.7 [119.9-131.9],125.7,119.9,131.9,Bhutan2004,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2005,2005,,SEAR,South-East Asia,,BTN,Bhutan,,AGE25-PLUS,25+,,MLE,Male,,125.8 [119.9-131.9],125.8,119.9,131.9,Bhutan2005,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2006,2006,,SEAR,South-East Asia,,BTN,Bhutan,,AGE25-PLUS,25+,,MLE,Male,,125.8 [119.9-131.9],125.8,119.9,131.9,Bhutan2006,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2007,2007,,SEAR,South-East Asia,,BTN,Bhutan,,AGE25-PLUS,25+,,MLE,Male,,125.9 [119.7-132.2],125.9,119.7,132.2,Bhutan2007,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1983,1983,,AMR,Americas,,BOL,Bolivia (Plurinational State of),,AGE25-PLUS,25+,,MLE,Male,,127.9 [118.8-137.3],127.9,118.8,137.3,Bolivia (Plurinational State of)1983,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1984,1984,,AMR,Americas,,BOL,Bolivia (Plurinational State of),,AGE25-PLUS,25+,,MLE,Male,,127.7 [118.9-136.6],127.7,118.9,136.6,Bolivia (Plurinational State of)1984,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1985,1985,,AMR,Americas,,BOL,Bolivia (Plurinational State of),,AGE25-PLUS,25+,,MLE,Male,,127.4 [118.9-135.9],127.4,118.9,135.9,Bolivia (Plurinational State of)1985,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1986,1986,,AMR,Americas,,BOL,Bolivia (Plurinational State of),,AGE25-PLUS,25+,,MLE,Male,,127.2 [118.7-135.5],127.2,118.7,135.5,Bolivia (Plurinational State of)1986,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1991,1991,,AMR,Americas,,BOL,Bolivia (Plurinational State of),,AGE25-PLUS,25+,,MLE,Male,,126.3 [117.9-134.8],126.3,117.9,134.8,Bolivia (Plurinational State of)1991,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1992,1992,,AMR,Americas,,BOL,Bolivia (Plurinational State of),,AGE25-PLUS,25+,,MLE,Male,,126.1 [117.7-134.6],126.1,117.7,134.6,Bolivia (Plurinational State of)1992,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1993,1993,,AMR,Americas,,BOL,Bolivia (Plurinational State of),,AGE25-PLUS,25+,,MLE,Male,,126.0 [117.5-134.4],126,117.5,134.4,Bolivia (Plurinational State of)1993,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1994,1994,,AMR,Americas,,BOL,Bolivia (Plurinational State of),,AGE25-PLUS,25+,,MLE,Male,,125.9 [117.3-134.4],125.9,117.3,134.4,Bolivia (Plurinational State of)1994,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1999,1999,,AMR,Americas,,BOL,Bolivia (Plurinational State of),,AGE25-PLUS,25+,,MLE,Male,,125.7 [117.4-133.6],125.7,117.4,133.6,Bolivia (Plurinational State of)1999,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2000,2000,,AMR,Americas,,BOL,Bolivia (Plurinational State of),,AGE25-PLUS,25+,,MLE,Male,,125.7 [117.7-133.6],125.7,117.7,133.6,Bolivia (Plurinational State of)2000,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2001,2001,,AMR,Americas,,BOL,Bolivia (Plurinational State of),,AGE25-PLUS,25+,,MLE,Male,,125.8 [117.9-133.5],125.8,117.9,133.5,Bolivia (Plurinational State of)2001,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2002,2002,,AMR,Americas,,BOL,Bolivia (Plurinational State of),,AGE25-PLUS,25+,,MLE,Male,,125.9 [118.1-133.6],125.9,118.1,133.6,Bolivia (Plurinational State of)2002,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2008,2008,,AMR,Americas,,BOL,Bolivia (Plurinational State of),,AGE25-PLUS,25+,,MLE,Male,,127.2 [118.4-136.2],127.2,118.4,136.2,Bolivia (Plurinational State of)2008,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2009,2009,,AFR,Africa,,AGO,Angola,,AGE25-PLUS,25+,,MLE,Male,,131.2 [122.2-139.8],131.2,122.2,139.8,Angola2009,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1980,1980,,EUR,Europe,,BIH,Bosnia and Herzegovina,,AGE25-PLUS,25+,,MLE,Male,,130.7 [121.9-139.8],130.7,121.9,139.8,Bosnia and Herzegovina1980,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1981,1981,,EUR,Europe,,BIH,Bosnia and Herzegovina,,AGE25-PLUS,25+,,MLE,Male,,131.0 [123.1-139.2],131,123.1,139.2,Bosnia and Herzegovina1981,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1986,1986,,EUR,Europe,,BIH,Bosnia and Herzegovina,,AGE25-PLUS,25+,,MLE,Male,,132.4 [126.4-138.3],132.4,126.4,138.3,Bosnia and Herzegovina1986,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1987,1987,,EUR,Europe,,BIH,Bosnia and Herzegovina,,AGE25-PLUS,25+,,MLE,Male,,132.6 [126.7-138.4],132.6,126.7,138.4,Bosnia and Herzegovina1987,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1988,1988,,EUR,Europe,,BIH,Bosnia and Herzegovina,,AGE25-PLUS,25+,,MLE,Male,,132.7 [126.9-138.5],132.7,126.9,138.5,Bosnia and Herzegovina1988,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1989,1989,,EUR,Europe,,BIH,Bosnia and Herzegovina,,AGE25-PLUS,25+,,MLE,Male,,132.7 [127.0-138.5],132.7,127,138.5,Bosnia and Herzegovina1989,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1994,1994,,EUR,Europe,,BIH,Bosnia and Herzegovina,,AGE25-PLUS,25+,,MLE,Male,,131.4 [125.8-137.1],131.4,125.8,137.1,Bosnia and Herzegovina1994,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1995,1995,,EUR,Europe,,BIH,Bosnia and Herzegovina,,AGE25-PLUS,25+,,MLE,Male,,131.3 [125.6-137.0],131.3,125.6,137,Bosnia and Herzegovina1995,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1996,1996,,EUR,Europe,,BIH,Bosnia and Herzegovina,,AGE25-PLUS,25+,,MLE,Male,,131.4 [125.8-137.0],131.4,125.8,137,Bosnia and Herzegovina1996,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1997,1997,,EUR,Europe,,BIH,Bosnia and Herzegovina,,AGE25-PLUS,25+,,MLE,Male,,131.6 [126.1-137.2],131.6,126.1,137.2,Bosnia and Herzegovina1997,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1998,1998,,EUR,Europe,,BIH,Bosnia and Herzegovina,,AGE25-PLUS,25+,,MLE,Male,,132.0 [126.5-137.3],132,126.5,137.3,Bosnia and Herzegovina1998,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2003,2003,,EUR,Europe,,BIH,Bosnia and Herzegovina,,AGE25-PLUS,25+,,MLE,Male,,133.6 [128.8-138.1],133.6,128.8,138.1,Bosnia and Herzegovina2003,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2004,2004,,EUR,Europe,,BIH,Bosnia and Herzegovina,,AGE25-PLUS,25+,,MLE,Male,,133.8 [128.9-138.6],133.8,128.9,138.6,Bosnia and Herzegovina2004,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2005,2005,,EUR,Europe,,BIH,Bosnia and Herzegovina,,AGE25-PLUS,25+,,MLE,Male,,134.1 [128.8-139.2],134.1,128.8,139.2,Bosnia and Herzegovina2005,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2006,2006,,EUR,Europe,,BIH,Bosnia and Herzegovina,,AGE25-PLUS,25+,,MLE,Male,,134.3 [128.6-140.0],134.3,128.6,140,Bosnia and Herzegovina2006,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1981,1981,,AFR,Africa,,BWA,Botswana,,AGE25-PLUS,25+,,MLE,Male,,130.0 [122.5-137.5],130,122.5,137.5,Botswana1981,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1982,1982,,AFR,Africa,,BWA,Botswana,,AGE25-PLUS,25+,,MLE,Male,,130.1 [123.1-136.9],130.1,123.1,136.9,Botswana1982,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1983,1983,,AFR,Africa,,BWA,Botswana,,AGE25-PLUS,25+,,MLE,Male,,130.1 [123.7-136.3],130.1,123.7,136.3,Botswana1983,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1984,1984,,AFR,Africa,,BWA,Botswana,,AGE25-PLUS,25+,,MLE,Male,,130.2 [124.2-136.1],130.2,124.2,136.1,Botswana1984,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1989,1989,,AFR,Africa,,BWA,Botswana,,AGE25-PLUS,25+,,MLE,Male,,130.6 [124.6-136.6],130.6,124.6,136.6,Botswana1989,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1990,1990,,AFR,Africa,,BWA,Botswana,,AGE25-PLUS,25+,,MLE,Male,,130.7 [124.5-136.9],130.7,124.5,136.9,Botswana1990,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1991,1991,,AFR,Africa,,BWA,Botswana,,AGE25-PLUS,25+,,MLE,Male,,130.8 [124.4-137.1],130.8,124.4,137.1,Botswana1991,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1992,1992,,AFR,Africa,,BWA,Botswana,,AGE25-PLUS,25+,,MLE,Male,,130.9 [124.4-137.2],130.9,124.4,137.2,Botswana1992,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1993,1993,,AFR,Africa,,BWA,Botswana,,AGE25-PLUS,25+,,MLE,Male,,130.9 [124.5-137.3],130.9,124.5,137.3,Botswana1993,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1998,1998,,AFR,Africa,,BWA,Botswana,,AGE25-PLUS,25+,,MLE,Male,,130.5 [124.2-136.6],130.5,124.2,136.6,Botswana1998,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1999,1999,,AFR,Africa,,BWA,Botswana,,AGE25-PLUS,25+,,MLE,Male,,130.5 [124.5-136.4],130.5,124.5,136.4,Botswana1999,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2000,2000,,AFR,Africa,,BWA,Botswana,,AGE25-PLUS,25+,,MLE,Male,,130.6 [124.8-136.3],130.6,124.8,136.3,Botswana2000,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2001,2001,,AFR,Africa,,BWA,Botswana,,AGE25-PLUS,25+,,MLE,Male,,130.6 [125.2-136.1],130.6,125.2,136.1,Botswana2001,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2006,2006,,AFR,Africa,,BWA,Botswana,,AGE25-PLUS,25+,,MLE,Male,,131.3 [127.1-135.6],131.3,127.1,135.6,Botswana2006,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2007,2007,,AFR,Africa,,BWA,Botswana,,AGE25-PLUS,25+,,MLE,Male,,131.4 [127.2-135.8],131.4,127.2,135.8,Botswana2007,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2008,2008,,AFR,Africa,,BWA,Botswana,,AGE25-PLUS,25+,,MLE,Male,,131.5 [127.1-136.1],131.5,127.1,136.1,Botswana2008,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2009,2009,,AFR,Africa,,AGO,Angola,,AGE25-PLUS,25+,,FMLE,Female,,126.1 [117.0-135.3],126.1,117,135.3,Angola2009,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1984,1984,,AMR,Americas,,BRA,Brazil,,AGE25-PLUS,25+,,MLE,Male,,133.5 [127.8-139.5],133.5,127.8,139.5,Brazil1984,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1985,1985,,AMR,Americas,,BRA,Brazil,,AGE25-PLUS,25+,,MLE,Male,,133.2 [128.0-138.7],133.2,128,138.7,Brazil1985,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1986,1986,,AMR,Americas,,BRA,Brazil,,AGE25-PLUS,25+,,MLE,Male,,133.0 [128.2-138.0],133,128.2,138,Brazil1986,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1987,1987,,AMR,Americas,,BRA,Brazil,,AGE25-PLUS,25+,,MLE,Male,,132.7 [128.2-137.3],132.7,128.2,137.3,Brazil1987,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1988,1988,,AMR,Americas,,BRA,Brazil,,AGE25-PLUS,25+,,MLE,Male,,132.4 [128.2-136.8],132.4,128.2,136.8,Brazil1988,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1993,1993,,AMR,Americas,,BRA,Brazil,,AGE25-PLUS,25+,,MLE,Male,,130.7 [127.2-134.2],130.7,127.2,134.2,Brazil1993,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1994,1994,,AMR,Americas,,BRA,Brazil,,AGE25-PLUS,25+,,MLE,Male,,130.3 [126.9-133.7],130.3,126.9,133.7,Brazil1994,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1995,1995,,AMR,Americas,,BRA,Brazil,,AGE25-PLUS,25+,,MLE,Male,,130.0 [126.7-133.3],130,126.7,133.3,Brazil1995,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1996,1996,,AMR,Americas,,BRA,Brazil,,AGE25-PLUS,25+,,MLE,Male,,129.7 [126.4-133.0],129.7,126.4,133,Brazil1996,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2001,2001,,AMR,Americas,,BRA,Brazil,,AGE25-PLUS,25+,,MLE,Male,,129.6 [126.6-132.7],129.6,126.6,132.7,Brazil2001,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2002,2002,,AMR,Americas,,BRA,Brazil,,AGE25-PLUS,25+,,MLE,Male,,129.9 [126.8-132.9],129.9,126.8,132.9,Brazil2002,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2003,2003,,AMR,Americas,,BRA,Brazil,,AGE25-PLUS,25+,,MLE,Male,,130.1 [127.1-133.1],130.1,127.1,133.1,Brazil2003,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2004,2004,,AMR,Americas,,BRA,Brazil,,AGE25-PLUS,25+,,MLE,Male,,130.5 [127.4-133.6],130.5,127.4,133.6,Brazil2004,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1980,1980,,WPR,Western Pacific,,BRN,Brunei Darussalam,,AGE25-PLUS,25+,,MLE,Male,,134.2 [124.3-144.5],134.2,124.3,144.5,Brunei Darussalam1980,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1981,1981,,WPR,Western Pacific,,BRN,Brunei Darussalam,,AGE25-PLUS,25+,,MLE,Male,,133.6 [124.3-143.1],133.6,124.3,143.1,Brunei Darussalam1981,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1982,1982,,WPR,Western Pacific,,BRN,Brunei Darussalam,,AGE25-PLUS,25+,,MLE,Male,,133.0 [124.3-141.8],133,124.3,141.8,Brunei Darussalam1982,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1983,1983,,WPR,Western Pacific,,BRN,Brunei Darussalam,,AGE25-PLUS,25+,,MLE,Male,,132.4 [124.1-140.8],132.4,124.1,140.8,Brunei Darussalam1983,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1988,1988,,WPR,Western Pacific,,BRN,Brunei Darussalam,,AGE25-PLUS,25+,,MLE,Male,,129.6 [122.3-136.9],129.6,122.3,136.9,Brunei Darussalam1988,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1989,1989,,WPR,Western Pacific,,BRN,Brunei Darussalam,,AGE25-PLUS,25+,,MLE,Male,,129.2 [121.9-136.5],129.2,121.9,136.5,Brunei Darussalam1989,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1990,1990,,WPR,Western Pacific,,BRN,Brunei Darussalam,,AGE25-PLUS,25+,,MLE,Male,,128.9 [121.6-136.1],128.9,121.6,136.1,Brunei Darussalam1990,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1991,1991,,WPR,Western Pacific,,BRN,Brunei Darussalam,,AGE25-PLUS,25+,,MLE,Male,,128.7 [121.3-136.0],128.7,121.3,136,Brunei Darussalam1991,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1996,1996,,WPR,Western Pacific,,BRN,Brunei Darussalam,,AGE25-PLUS,25+,,MLE,Male,,127.5 [120.1-134.9],127.5,120.1,134.9,Brunei Darussalam1996,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1997,1997,,WPR,Western Pacific,,BRN,Brunei Darussalam,,AGE25-PLUS,25+,,MLE,Male,,127.4 [120.0-134.8],127.4,120,134.8,Brunei Darussalam1997,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1998,1998,,WPR,Western Pacific,,BRN,Brunei Darussalam,,AGE25-PLUS,25+,,MLE,Male,,127.2 [120.1-134.5],127.2,120.1,134.5,Brunei Darussalam1998,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,1999,1999,,WPR,Western Pacific,,BRN,Brunei Darussalam,,AGE25-PLUS,25+,,MLE,Male,,127.1 [120.0-134.3],127.1,120,134.3,Brunei Darussalam1999,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2005,2005,,WPR,Western Pacific,,BRN,Brunei Darussalam,,AGE25-PLUS,25+,,MLE,Male,,126.0 [119.2-132.9],126,119.2,132.9,Brunei Darussalam2005,
BP_05,Mean systolic blood pressure (crude estimate),http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2387,PUBLISHED,Published,,2006,2006,,WPR,Western Pacific,,BRN,Brunei Darussalam,,AGE25-PLUS,25+,,MLE,Male,,125.9 [119.0-133.0],125.9,119,133,Brunei Darussalam2006,
