RecordOrder,Survey,Breakdown Variable,Indicator,Measure,Unit,Value
274,Guatemala - 2006,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,11.09
275,Guatemala - 2006,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.01
276,Guatemala - 2006,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,5113
277,Guatemala - 2006,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,67.91
278,Guatemala - 2006,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,22.45
279,Guatemala - 2006,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,4844
280,Guatemala - 2006,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,11.33
281,Guatemala - 2006,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,1.71
282,Guatemala - 2006,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,4844
283,Guatemala - 2006,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,94.21
284,Guatemala - 2006,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,41.68
285,Guatemala - 2006,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,3646
286,Guatemala - 2006,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,12.14
287,Guatemala - 2006,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.15
288,Guatemala - 2006,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,3646
289,Haiti - 1999-2000,Country-level,Protein consumption,Mean,g/capita/day,57.5
290,Haiti - 1999-2000,Country-level,Protein consumption,Standard Deviation,g/capita/day,52.88
291,Haiti - 1999-2000,Country-level,Protein consumption,Number Observations,g/capita/day,4733
292,Haiti - 1999-2000,Country-level,Share of dietary energy consumption from protein,Mean,%,9.84
293,Haiti - 1999-2000,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,3.02
294,Haiti - 1999-2000,Country-level,Share of dietary energy consumption from protein,Number Observations,%,4733
295,Haiti - 1999-2000,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,31.99
296,Haiti - 1999-2000,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,21.22
297,Haiti - 1999-2000,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,1542
298,Haiti - 1999-2000,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,9.34
299,Haiti - 1999-2000,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.63
300,Haiti - 1999-2000,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,1542
301,Haiti - 1999-2000,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,58.04
302,Haiti - 1999-2000,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,34.21
303,Haiti - 1999-2000,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,1583
304,Haiti - 1999-2000,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,9.87
305,Haiti - 1999-2000,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.52
306,Haiti - 1999-2000,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,1583
307,Haiti - 1999-2000,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,97.57
308,Haiti - 1999-2000,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,78.15
309,Haiti - 1999-2000,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,1608
310,Haiti - 1999-2000,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,10.59
311,Haiti - 1999-2000,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,3.95
312,Haiti - 1999-2000,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,1608
313,Hungary - 2004,Country-level,Protein consumption,Mean,g/capita/day,79.91
314,Hungary - 2004,Country-level,Protein consumption,Standard Deviation,g/capita/day,37.09
315,Hungary - 2004,Country-level,Protein consumption,Number Observations,g/capita/day,9879
316,Hungary - 2004,Country-level,Share of dietary energy consumption from protein,Mean,%,13.32
317,Hungary - 2004,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,2.64
318,Hungary - 2004,Country-level,Share of dietary energy consumption from protein,Number Observations,%,9879
319,Hungary - 2004,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,66.43
320,Hungary - 2004,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,22.78
321,Hungary - 2004,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,3337
322,Hungary - 2004,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,13.05
323,Hungary - 2004,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.43
324,Hungary - 2004,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,3337
325,Hungary - 2004,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,84.11
326,Hungary - 2004,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,33.94
327,Hungary - 2004,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,3401
328,Hungary - 2004,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,13.29
329,Hungary - 2004,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.67
330,Hungary - 2004,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,3401
331,Hungary - 2004,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,96.25
332,Hungary - 2004,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,49.19
333,Hungary - 2004,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,3141
334,Hungary - 2004,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,13.78
335,Hungary - 2004,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.86
336,Hungary - 2004,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,3141
337,Iraq - 2007,Country-level,Protein consumption,Mean,g/capita/day,76.39
338,Iraq - 2007,Country-level,Protein consumption,Standard Deviation,g/capita/day,30.57
339,Iraq - 2007,Country-level,Protein consumption,Number Observations,g/capita/day,17822
340,Iraq - 2007,Country-level,Share of dietary energy consumption from protein,Mean,%,11.98
341,Iraq - 2007,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,2.43
342,Iraq - 2007,Country-level,Share of dietary energy consumption from protein,Number Observations,%,17822
343,Iraq - 2007,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,63.13
344,Iraq - 2007,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,21.79
345,Iraq - 2007,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,6061
346,Iraq - 2007,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,12.07
347,Iraq - 2007,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.69
348,Iraq - 2007,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,6061
349,Iraq - 2007,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,77.82
350,Iraq - 2007,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,25.62
351,Iraq - 2007,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,5871
352,Iraq - 2007,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,11.89
353,Iraq - 2007,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.16
354,Iraq - 2007,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,5871
355,Iraq - 2007,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,95.96
356,Iraq - 2007,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,36.92
357,Iraq - 2007,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,5890
358,Iraq - 2007,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,11.95
359,Iraq - 2007,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.29
360,Iraq - 2007,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,5890
361,Kenya - 2005-2006,Country-level,Protein consumption,Mean,g/capita/day,52.4
362,Kenya - 2005-2006,Country-level,Protein consumption,Standard Deviation,g/capita/day,38.83
363,Kenya - 2005-2006,Country-level,Protein consumption,Number Observations,g/capita/day,12980
364,Kenya - 2005-2006,Country-level,Share of dietary energy consumption from protein,Mean,%,11.54
365,Kenya - 2005-2006,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,2.5
366,Kenya - 2005-2006,Country-level,Share of dietary energy consumption from protein,Number Observations,%,12980
367,Kenya - 2005-2006,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,35.12
368,Kenya - 2005-2006,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,21.03
369,Kenya - 2005-2006,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,4326
370,Kenya - 2005-2006,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,11.23
371,Kenya - 2005-2006,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.63
372,Kenya - 2005-2006,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,4326
373,Kenya - 2005-2006,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,54.71
374,Kenya - 2005-2006,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,30.35
375,Kenya - 2005-2006,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,4327
376,Kenya - 2005-2006,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,11.56
377,Kenya - 2005-2006,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.24
378,Kenya - 2005-2006,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,4327
379,Kenya - 2005-2006,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,81.47
380,Kenya - 2005-2006,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,54.18
381,Kenya - 2005-2006,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,4327
382,Kenya - 2005-2006,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,12.11
383,Kenya - 2005-2006,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.48
384,Kenya - 2005-2006,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,4327
385,Lao People's Democratic Republic - 2008,Country-level,Protein consumption,Mean,g/capita/day,69.09
386,Lao People's Democratic Republic - 2008,Country-level,Protein consumption,Standard Deviation,g/capita/day,25.98
387,Lao People's Democratic Republic - 2008,Country-level,Protein consumption,Number Observations,g/capita/day,8294
388,Lao People's Democratic Republic - 2008,Country-level,Share of dietary energy consumption from protein,Mean,%,11
389,Lao People's Democratic Republic - 2008,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,2.99
390,Lao People's Democratic Republic - 2008,Country-level,Share of dietary energy consumption from protein,Number Observations,%,8294
391,Lao People's Democratic Republic - 2008,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,55.22
392,Lao People's Democratic Republic - 2008,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,15.05
393,Lao People's Democratic Republic - 2008,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,3218
394,Lao People's Democratic Republic - 2008,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,10.38
395,Lao People's Democratic Republic - 2008,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.91
396,Lao People's Democratic Republic - 2008,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,3218
397,Lao People's Democratic Republic - 2008,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,70.41
398,Lao People's Democratic Republic - 2008,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,17.6
399,Lao People's Democratic Republic - 2008,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,2714
400,Lao People's Democratic Republic - 2008,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,10.9
401,Lao People's Democratic Republic - 2008,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.32
402,Lao People's Democratic Republic - 2008,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,2714
403,Lao People's Democratic Republic - 2008,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,87.36
404,Lao People's Democratic Republic - 2008,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,33.59
405,Lao People's Democratic Republic - 2008,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,2362
406,Lao People's Democratic Republic - 2008,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,12.01
407,Lao People's Democratic Republic - 2008,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,3.48
408,Lao People's Democratic Republic - 2008,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,2362
409,Lithuania - 2002,Country-level,Protein consumption,Mean,g/capita/day,86.5
410,Lithuania - 2002,Country-level,Protein consumption,Standard Deviation,g/capita/day,42.66
411,Lithuania - 2002,Country-level,Protein consumption,Number Observations,g/capita/day,8025
412,Lithuania - 2002,Country-level,Share of dietary energy consumption from protein,Mean,%,12.41
413,Lithuania - 2002,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,2.57
414,Lithuania - 2002,Country-level,Share of dietary energy consumption from protein,Number Observations,%,8025
415,Lithuania - 2002,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,64.5
416,Lithuania - 2002,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,25
417,Lithuania - 2002,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,2969
418,Lithuania - 2002,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,11.88
419,Lithuania - 2002,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.52
420,Lithuania - 2002,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,2969
421,Lithuania - 2002,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,88.86
422,Lithuania - 2002,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,33.94
423,Lithuania - 2002,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,2694
424,Lithuania - 2002,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,12.56
425,Lithuania - 2002,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.56
426,Lithuania - 2002,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,2694
427,Lithuania - 2002,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,116.41
428,Lithuania - 2002,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,52.75
429,Lithuania - 2002,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,2362
430,Lithuania - 2002,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,13.04
431,Lithuania - 2002,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,2.51
432,Lithuania - 2002,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,2362
433,Malawi - 2004-2005,Country-level,Protein consumption,Mean,g/capita/day,74.32
434,Malawi - 2004-2005,Country-level,Protein consumption,Standard Deviation,g/capita/day,168.04
435,Malawi - 2004-2005,Country-level,Protein consumption,Number Observations,g/capita/day,11280
436,Malawi - 2004-2005,Country-level,Share of dietary energy consumption from protein,Mean,%,13.61
437,Malawi - 2004-2005,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,6.88
438,Malawi - 2004-2005,Country-level,Share of dietary energy consumption from protein,Number Observations,%,11280
439,Malawi - 2004-2005,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,49.47
440,Malawi - 2004-2005,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,92.6
441,Malawi - 2004-2005,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,3797
442,Malawi - 2004-2005,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,13.15
443,Malawi - 2004-2005,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,7.09
444,Malawi - 2004-2005,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,3797
445,Malawi - 2004-2005,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,71.73
446,Malawi - 2004-2005,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,140.78
447,Malawi - 2004-2005,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,3746
448,Malawi - 2004-2005,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,13.67
449,Malawi - 2004-2005,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,6.68
450,Malawi - 2004-2005,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,3746
451,Malawi - 2004-2005,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,118.59
452,Malawi - 2004-2005,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,262.01
453,Malawi - 2004-2005,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,3737
454,Malawi - 2004-2005,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,14.29
455,Malawi - 2004-2005,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,6.73
456,Malawi - 2004-2005,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,3737
457,Mali - 2001,Country-level,Protein consumption,Mean,g/capita/day,63.49
458,Mali - 2001,Country-level,Protein consumption,Standard Deviation,g/capita/day,23.67
459,Mali - 2001,Country-level,Protein consumption,Number Observations,g/capita/day,16893
460,Mali - 2001,Country-level,Share of dietary energy consumption from protein,Mean,%,11.18
461,Mali - 2001,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,1.58
462,Mali - 2001,Country-level,Share of dietary energy consumption from protein,Number Observations,%,16893
463,Mali - 2001,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,52.23
464,Mali - 2001,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,16.15
465,Mali - 2001,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,5473
466,Mali - 2001,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,11.23
467,Mali - 2001,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,1.39
468,Mali - 2001,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,5473
469,Mali - 2001,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,65.4
470,Mali - 2001,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,19.31
471,Mali - 2001,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,5561
472,Mali - 2001,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,11.1
473,Mali - 2001,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,1.61
474,Mali - 2001,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,5561
475,Mali - 2001,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,79.11
476,Mali - 2001,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,28.71
477,Mali - 2001,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,5859
478,Mali - 2001,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,11.19
479,Mali - 2001,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,1.81
480,Mali - 2001,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,5859
481,Mexico - 2004,Country-level,Protein consumption,Mean,g/capita/day,78.51
482,Mexico - 2004,Country-level,Protein consumption,Standard Deviation,g/capita/day,51.69
483,Mexico - 2004,Country-level,Protein consumption,Number Observations,g/capita/day,22533
484,Mexico - 2004,Country-level,Share of dietary energy consumption from protein,Mean,%,14.8
485,Mexico - 2004,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,3.8
486,Mexico - 2004,Country-level,Share of dietary energy consumption from protein,Number Observations,%,22533
487,Mexico - 2004,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,54.01
488,Mexico - 2004,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,23.25
489,Mexico - 2004,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,7234
490,Mexico - 2004,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,13.95
491,Mexico - 2004,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,3.58
492,Mexico - 2004,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,7234
493,Mexico - 2004,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,79.16
494,Mexico - 2004,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,33.2
495,Mexico - 2004,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,7220
496,Mexico - 2004,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,15.14
497,Mexico - 2004,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,3.45
498,Mexico - 2004,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,7220
499,Mexico - 2004,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,118.99
500,Mexico - 2004,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,75.62
501,Mexico - 2004,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,8079
502,Mexico - 2004,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,15.78
503,Mexico - 2004,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,4.29
504,Mexico - 2004,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,8079
505,Mexico - 2006,Country-level,Protein consumption,Mean,g/capita/day,80.92
506,Mexico - 2006,Country-level,Protein consumption,Standard Deviation,g/capita/day,51.01
507,Mexico - 2006,Country-level,Protein consumption,Number Observations,g/capita/day,20816
508,Mexico - 2006,Country-level,Share of dietary energy consumption from protein,Mean,%,15.05
509,Mexico - 2006,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,3.91
510,Mexico - 2006,Country-level,Share of dietary energy consumption from protein,Number Observations,%,20816
511,Mexico - 2006,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,57.74
512,Mexico - 2006,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,24.51
513,Mexico - 2006,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,7701
514,Mexico - 2006,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,14.26
515,Mexico - 2006,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,3.7
516,Mexico - 2006,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,7701
517,Mexico - 2006,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,81.89
518,Mexico - 2006,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,34.43
519,Mexico - 2006,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,6471
520,Mexico - 2006,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,15.39
521,Mexico - 2006,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,3.48
522,Mexico - 2006,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,6471
523,Mexico - 2006,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,120.64
524,Mexico - 2006,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,74.62
525,Mexico - 2006,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,6644
526,Mexico - 2006,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,15.98
527,Mexico - 2006,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,4.52
528,Mexico - 2006,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,6644
529,Mexico - 2008,Country-level,Protein consumption,Mean,g/capita/day,78.11
530,Mexico - 2008,Country-level,Protein consumption,Standard Deviation,g/capita/day,47.11
531,Mexico - 2008,Country-level,Protein consumption,Number Observations,g/capita/day,29428
532,Mexico - 2008,Country-level,Share of dietary energy consumption from protein,Mean,%,15.06
533,Mexico - 2008,Country-level,Share of dietary energy consumption from protein,Standard Deviation,%,3.77
534,Mexico - 2008,Country-level,Share of dietary energy consumption from protein,Number Observations,%,29428
535,Mexico - 2008,Income terciles: Poorest income tercile,Protein consumption,Mean,g/capita/day,56.27
536,Mexico - 2008,Income terciles: Poorest income tercile,Protein consumption,Standard Deviation,g/capita/day,25.63
537,Mexico - 2008,Income terciles: Poorest income tercile,Protein consumption,Number Observations,g/capita/day,10077
538,Mexico - 2008,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Mean,%,14.27
539,Mexico - 2008,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,3.66
540,Mexico - 2008,Income terciles: Poorest income tercile,Share of dietary energy consumption from protein,Number Observations,%,10077
541,Mexico - 2008,Income terciles: Medium income tercile,Protein consumption,Mean,g/capita/day,79
542,Mexico - 2008,Income terciles: Medium income tercile,Protein consumption,Standard Deviation,g/capita/day,31.68
543,Mexico - 2008,Income terciles: Medium income tercile,Protein consumption,Number Observations,g/capita/day,9754
544,Mexico - 2008,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Mean,%,15.42
545,Mexico - 2008,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,3.46
546,Mexico - 2008,Income terciles: Medium income tercile,Share of dietary energy consumption from protein,Number Observations,%,9754
547,Mexico - 2008,Income terciles: Highest income tercile,Protein consumption,Mean,g/capita/day,115.28
548,Mexico - 2008,Income terciles: Highest income tercile,Protein consumption,Standard Deviation,g/capita/day,66.44
549,Mexico - 2008,Income terciles: Highest income tercile,Protein consumption,Number Observations,g/capita/day,9597
550,Mexico - 2008,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Mean,%,15.93
551,Mexico - 2008,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Standard Deviation,%,4.08
552,Mexico - 2008,Income terciles: Highest income tercile,Share of dietary energy consumption from protein,Number Observations,%,9597
553,Mozambique - 2002-2003,Country-level,Protein consumption,Mean,g/capita/day,51.6
