Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012]
Wanted fertility rate (births per woman),SP.DYN.WFRT,Thailand,THA,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Timor-Leste,TMP,..,..,..,..,..,..,..,..,..,..,5.1,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Togo,TGO,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Tonga,TON,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Trinidad and Tobago,TTO,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Tunisia,TUN,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Turkey,TUR,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Turkmenistan,TKM,2.7,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Uganda,UGA,..,5.3,..,..,..,..,4.8,..,..,..,..,4.5,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Ukraine,UKR,..,..,..,..,..,..,..,1.1,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,United Arab Emirates,ARE,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Uruguay,URY,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Uzbekistan,UZB,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Vanuatu,VUT,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,"Venezuela, RB",VEN,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Vietnam,VNM,..,..,1.6,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,West Bank and Gaza,WBG,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,"Yemen, Rep.",YEM,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Zambia,ZMB,..,..,4.9,..,..,..,..,5.2,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Zimbabwe,ZWE,..,..,..,..,..,..,3.3,..,..,..,..,3.4,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Arab World,ARB,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Caribbean small states,CSS,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,East Asia & Pacific (all income levels),EAS,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,East Asia & Pacific (developing only),EAP,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Euro area,EMU,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Europe & Central Asia (all income levels),ECS,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Europe & Central Asia (developing only),ECA,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,European Union,EUU,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Heavily indebted poor countries (HIPC),HPC,..,..,..,..,..,..,..,..,..,4.07850648426041,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,High income,HIC,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,High income: OECD,OEC,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,High income: nonOECD,NOC,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Latin America & Caribbean (all income levels),LCN,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Latin America & Caribbean (developing only),LAC,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Least developed countries: UN classification,LDC,..,..,..,..,..,..,..,..,..,3.27720730739895,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Low & middle income,LMY,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Low income,LIC,..,..,..,..,..,..,..,..,..,3.23699146023092,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Lower middle income,LMC,2.41470931086874,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Middle East & North Africa (all income levels),MEA,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Middle East & North Africa (developing only),MNA,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Middle income,MIC,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,North America,NAC,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,OECD members,OED,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Other small states,OSS,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Pacific island small states,PSS,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Small states,SST,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,South Asia,SAS,2.11849083012316,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Sub-Saharan Africa (all income levels),SSF,4.32119257554804,..,..,..,..,..,..,..,..,4.40133518493758,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Sub-Saharan Africa (developing only),SSA,4.32119257554804,..,..,..,..,..,..,..,..,4.40133518493758,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,Upper middle income,UMC,..,..,..,..,..,..,..,..,..,..,..,..,..
Wanted fertility rate (births per woman),SP.DYN.WFRT,World,WLD,..,..,..,..,..,..,..,..,..,..,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,7.733,7.623,7.484,7.321,7.136,6.93,6.702,6.456,6.196,5.928,5.659,5.395,5.141
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,2.383,2.291,2.195,2.097,2.004,1.919,1.849,1.796,1.761,1.744,1.741,1.748,1.76
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,2.514,2.439,2.407,2.412,2.448,2.507,2.58,2.656,2.725,2.781,2.817,2.829,2.82
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Andorra,ADO,..,..,..,..,..,..,1.24,1.18,1.25,1.19,1.22,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,6.844,6.811,6.778,6.743,6.704,6.657,6.598,6.523,6.434,6.331,6.218,6.099,5.979
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,2.316,2.305,2.288,2.268,2.246,2.224,2.203,2.183,2.164,2.146,2.13,2.115,2.102
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,2.477,2.424,2.379,2.34,2.31,2.286,2.268,2.254,2.241,2.228,2.215,2.201,2.188
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Armenia,ARM,1.688,1.684,1.692,1.704,1.715,1.724,1.728,1.731,1.734,1.736,1.738,1.738,1.739
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Aruba,ABW,1.874,1.848,1.825,1.805,1.786,1.769,1.754,1.739,1.726,1.713,1.701,1.69,1.681
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Australia,AUS,1.756,1.739,1.756,1.748,1.768,1.807,1.908,1.959,1.963,1.888,1.927,1.927,1.927
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Austria,AUT,1.36,1.33,1.39,1.38,1.42,1.41,1.41,1.38,1.41,1.39,1.44,1.43,1.44
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Azerbaijan,AZE,2,1.8,1.8,1.9,2.0535,2,1.97,1.97,1.9,1.82,1.92,1.96,2
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Bahamas, The",BHS,2.071,1.989,1.924,1.88,1.857,1.853,1.862,1.876,1.889,1.898,1.901,1.898,1.893
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Bahrain,BHR,2.765,2.718,2.665,2.602,2.529,2.449,2.367,2.292,2.229,2.179,2.142,2.115,2.094
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Bangladesh,BGD,3.12,3.011,2.905,2.802,2.702,2.607,2.52,2.443,2.377,2.322,2.277,2.24,2.208
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Barbados,BRB,1.768,1.78,1.791,1.801,1.81,1.817,1.822,1.827,1.831,1.835,1.839,1.842,1.845
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Belarus,BLR,1.31,1.27,1.22,1.21,1.2,1.21,1.287,1.37,1.42,1.42,1.44,1.51,1.62
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Belgium,BEL,1.67,1.67,1.65,1.67,1.72,1.76,1.8,1.82,1.85,1.84,1.86,1.81,1.79
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Belize,BLZ,3.594,3.493,3.395,3.299,3.208,3.122,3.043,2.971,2.907,2.851,2.801,2.756,2.715
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Benin,BEN,5.975,5.898,5.818,5.733,5.645,5.553,5.459,5.365,5.273,5.182,5.095,5.01,4.927
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Bermuda,BMU,1.74,1.75,1.77,1.8,1.78,1.76,1.76,1.76,1.77,1.76,1.76,1.76,1.76
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Bhutan,BTN,3.608,3.417,3.237,3.071,2.923,2.793,2.682,2.587,2.506,2.436,2.375,2.322,2.275
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Bolivia,BOL,4.14,4.062,3.982,3.897,3.809,3.72,3.633,3.551,3.477,3.413,3.357,3.308,3.264
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Bosnia and Herzegovina,BIH,1.381,1.325,1.275,1.236,1.21,1.199,1.199,1.207,1.218,1.23,1.242,1.255,1.268
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Botswana,BWA,3.413,3.316,3.227,3.148,3.079,3.017,2.962,2.91,2.86,2.811,2.761,2.712,2.665
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Brazil,BRA,2.364,2.318,2.264,2.202,2.135,2.066,2.001,1.944,1.897,1.862,1.838,1.822,1.811
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Brunei Darussalam,BRN,2.401,2.341,2.292,2.249,2.211,2.177,2.147,2.119,2.095,2.072,2.051,2.031,2.012
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Bulgaria,BGR,1.26,1.21,1.21,1.23,1.29,1.32,1.38,1.49,1.56,1.66,1.57,1.51,1.5
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Burkina Faso,BFA,6.592,6.531,6.468,6.403,6.335,6.265,6.193,6.116,6.037,5.954,5.869,5.781,5.693
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Burundi,BDI,7.057,7,6.939,6.873,6.803,6.729,6.65,6.567,6.481,6.393,6.304,6.214,6.123
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Cambodia,KHM,3.75,3.619,3.504,3.401,3.31,3.23,3.162,3.102,3.051,3.007,2.966,2.929,2.894
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Cameroon,CMR,5.621,5.567,5.515,5.464,5.413,5.358,5.299,5.235,5.167,5.094,5.017,4.939,4.859
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Canada,CAN,1.49,1.505,1.52,1.53,1.53,1.54,1.5862,1.6589,1.6808,1.668,1.6269,1.61,1.61
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Cabo Verde,CPV,3.701,3.527,3.357,3.192,3.037,2.895,2.77,2.66,2.567,2.49,2.427,2.375,2.331
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Central African Republic,CAF,5.446,5.393,5.329,5.257,5.176,5.089,4.997,4.903,4.809,4.716,4.626,4.538,4.451
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Chad,TCD,7.354,7.315,7.268,7.212,7.147,7.074,6.992,6.902,6.805,6.702,6.596,6.486,6.375
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Channel Islands,CHI,1.402,1.404,1.408,1.411,1.413,1.415,1.417,1.42,1.424,1.43,1.436,1.444,1.451
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Chile,CHL,2.087,2.047,2.014,1.985,1.96,1.939,1.92,1.903,1.888,1.873,1.858,1.844,1.832
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,China,CHN,1.51,1.514,1.527,1.546,1.566,1.585,1.602,1.617,1.63,1.642,1.65,1.657,1.663
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Colombia,COL,2.64,2.603,2.57,2.542,2.518,2.496,2.475,2.454,2.43,2.405,2.376,2.346,2.316
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Comoros,COM,5.315,5.313,5.303,5.283,5.254,5.216,5.168,5.112,5.051,4.986,4.919,4.85,4.782
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Congo, Dem. Rep.",ZAR,7.089,7.027,6.96,6.887,6.809,6.728,6.642,6.55,6.454,6.354,6.251,6.146,6.039
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Congo, Rep.",COG,5.134,5.131,5.128,5.125,5.122,5.119,5.114,5.109,5.101,5.089,5.072,5.046,5.012
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Costa Rica,CRI,2.414,2.345,2.275,2.204,2.134,2.067,2.006,1.953,1.909,1.874,1.847,1.827,1.81
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Cote d'Ivoire,CIV,5.375,5.289,5.207,5.13,5.06,5,4.956,4.928,4.913,4.909,4.91,4.907,4.894
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Croatia,HRV,1.39,1.46,1.42,1.41,1.43,1.5,1.47,1.48,1.55,1.58,1.55,1.48,1.51
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Cuba,CUB,1.626,1.626,1.621,1.61,1.592,1.57,1.545,1.52,1.498,1.48,1.467,1.459,1.453
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Curacao,CUW,..,..,..,..,..,..,2.1,2,2.2,2.1,2.2,2.1,2.2
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Cyprus,CYP,1.714,1.658,1.613,1.577,1.549,1.529,1.514,1.503,1.493,1.485,1.478,1.47,1.465
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Czech Republic,CZE,1.15,1.15,1.17,1.18,1.23,1.29,1.34,1.45,1.51,1.51,1.51,1.43,1.45
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Denmark,DNK,1.77,1.74,1.72,1.76,1.78,1.8,1.85,1.84,1.89,1.84,1.87,1.75,1.73
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Djibouti,DJI,4.469,4.353,4.253,4.16,4.074,3.991,3.911,3.832,3.755,3.679,3.604,3.53,3.457
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Dominica,DMA,..,..,1.9,1.9,..,..,..,..,..,..,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Dominican Republic,DOM,2.892,2.863,2.836,2.809,2.781,2.751,2.719,2.686,2.652,2.618,2.584,2.551,2.517
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Ecuador,ECU,3.068,3.025,2.983,2.94,2.897,2.853,2.81,2.768,2.728,2.69,2.655,2.622,2.59
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Egypt, Arab Rep.",EGY,3.306,3.242,3.184,3.134,3.091,3.053,3.02,2.987,2.954,2.919,2.883,2.845,2.807
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,El Salvador,SLV,2.934,2.803,2.683,2.58,2.496,2.433,2.386,2.35,2.319,2.291,2.263,2.236,2.209
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Equatorial Guinea,GNQ,5.773,5.727,5.678,5.627,5.574,5.518,5.457,5.39,5.314,5.231,5.14,5.044,4.945
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Eritrea,ERI,5.94,5.86,5.774,5.681,5.582,5.478,5.372,5.266,5.163,5.063,4.968,4.875,4.785
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Estonia,EST,1.37,1.33,1.37,1.37,1.47,1.52,1.58,1.68,1.71,1.69,1.7,1.6,1.55
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Ethiopia,ETH,6.529,6.38,6.218,6.046,5.87,5.693,5.52,5.353,5.193,5.043,4.902,4.769,4.642
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Faeroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Fiji,FJI,3.09,3.046,3.001,2.954,2.907,2.86,2.816,2.774,2.736,2.701,2.67,2.641,2.615
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Finland,FIN,1.73,1.73,1.72,1.76,1.8,1.8,1.84,1.83,1.85,1.86,1.87,1.83,1.8
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,France,FRA,1.89,1.9,1.88,1.89,1.92,1.94,2,1.98,2.01,2,2.03,2.01,2.01
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,French Polynesia,PYF,2.463,2.414,2.37,2.329,2.289,2.251,2.216,2.184,2.156,2.132,2.11,2.092,2.075
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Gabon,GAB,4.6,4.544,4.494,4.449,4.408,4.37,4.335,4.304,4.275,4.246,4.214,4.178,4.136
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Gambia, The",GMB,5.917,5.891,5.867,5.845,5.827,5.812,5.803,5.799,5.798,5.798,5.796,5.789,5.775
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Georgia,GEO,1.609,1.592,1.593,1.609,1.639,1.678,1.719,1.758,1.788,1.809,1.82,1.822,1.82
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Germany,DEU,1.38,1.35,1.34,1.34,1.36,1.34,1.33,1.37,1.38,1.36,1.39,1.36,1.38
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Ghana,GHA,4.669,4.617,4.566,4.512,4.455,4.392,4.326,4.257,4.188,4.119,4.052,3.985,3.92
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Greece,GRC,1.26,1.25,1.27,1.28,1.3,1.33,1.4,1.41,1.51,1.52,1.51,1.39,1.34
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Greenland,GRL,2.308,2.451,2.489,2.361,2.42,2.3,2.26,2.23,2.247,2.359,2.2,2.1,1.983
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Grenada,GRD,2.582,2.512,2.455,2.409,2.373,2.344,2.321,2.301,2.282,2.262,2.24,2.217,2.194
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Guam,GUM,2.824,2.794,2.759,2.72,2.679,2.638,2.599,2.562,2.529,2.499,2.472,2.448,2.426
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Guatemala,GTM,4.801,4.718,4.634,4.547,4.459,4.371,4.283,4.199,4.119,4.044,3.974,3.908,3.844
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Guinea,GIN,5.939,5.866,5.794,5.722,5.649,5.576,5.501,5.423,5.343,5.26,5.174,5.088,5.001
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Guinea-Bissau,GNB,5.845,5.766,5.69,5.614,5.539,5.463,5.389,5.317,5.247,5.18,5.115,5.052,4.989
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Guyana,GUY,2.585,2.614,2.645,2.678,2.709,2.735,2.751,2.754,2.743,2.718,2.682,2.638,2.591
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Haiti,HTI,4.303,4.182,4.065,3.953,3.849,3.753,3.664,3.58,3.5,3.424,3.35,3.28,3.212
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Honduras,HND,3.996,3.883,3.775,3.674,3.579,3.492,3.413,3.34,3.273,3.212,3.154,3.101,3.05
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Hong Kong SAR, China",HKG,1.035,0.932,0.939,0.901,0.927,0.966,0.984,1.028,1.064,1.055,1.127,1.204,1.285
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Hungary,HUN,1.32,1.31,1.3,1.27,1.28,1.31,1.34,1.32,1.35,1.32,1.25,1.26,1.34
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Iceland,ISL,2.08,1.95,1.93,1.99,2.04,2.05,2.08,2.09,2.15,2.23,2.2,2.02,2.04
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,India,IND,3.145,3.083,3.018,2.952,2.884,2.817,2.753,2.694,2.643,2.6,2.563,2.532,2.505
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Indonesia,IDN,2.484,2.475,2.474,2.479,2.486,2.493,2.495,2.49,2.479,2.46,2.434,2.403,2.37
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Iran, Islamic Rep.",IRN,2.193,2.079,1.994,1.934,1.895,1.873,1.866,1.87,1.88,1.893,1.904,1.912,1.917
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Iraq,IRQ,4.965,4.879,4.795,4.713,4.634,4.557,4.483,4.412,4.343,4.276,4.211,4.147,4.086
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Ireland,IRL,1.89,1.94,1.97,1.96,1.93,1.86,1.91,2.01,2.06,2.06,2.05,2.03,2.01
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Isle of Man,IMY,..,..,1.65,..,..,..,..,..,..,..,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Israel,ISR,2.95,2.92,2.89,2.95,2.9,2.84,2.88,2.9,2.96,2.96,3.03,2.98,3.04
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Italy,ITA,1.26,1.25,1.27,1.29,1.33,1.32,1.35,1.37,1.42,1.41,1.41,1.4,1.4
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Jamaica,JAM,2.603,2.578,2.552,2.525,2.498,2.47,2.442,2.414,2.387,2.36,2.334,2.309,2.284
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Japan,JPN,1.359,1.33,1.32,1.29,1.29,1.26,1.32,1.34,1.37,1.37,1.39,1.39,1.41
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Jordan,JOR,4.053,3.966,3.893,3.832,3.78,3.734,3.689,3.641,3.586,3.526,3.458,3.386,3.314
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Kazakhstan,KAZ,1.8,1.9,2,2.03,2.21,2.22,2.36,2.5,2.7,2.6,2.59,2.59,2.59
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Kenya,KEN,5.012,5.001,4.99,4.976,4.955,4.923,4.879,4.824,4.761,4.691,4.616,4.538,4.459
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Kiribati,KIR,3.881,3.754,3.631,3.516,3.413,3.324,3.249,3.186,3.133,3.087,3.048,3.014,2.982
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Korea, Dem. Rep.",PRK,1.991,1.992,1.996,2,2.004,2.005,2.006,2.005,2.005,2.004,2.003,2,1.995
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Korea, Rep.",KOR,1.467,1.297,1.166,1.18,1.154,1.076,1.123,1.25,1.192,1.149,1.226,1.244,1.297
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Kosovo,KSV,2.95,2.8,2.66,2.34,2.53,2.65,2.43,2.43,2.38,2.34,2.29,2.24,2.19
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Kuwait,KWT,2.869,2.796,2.718,2.66,2.63,2.628,2.645,2.667,2.681,2.683,2.673,2.652,2.626
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Kyrgyz Republic,KGZ,2.4,2.4,2.5,2.5,2.6,2.5,2.7,2.8,2.8,2.9,3.06,3.1,3.1
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Lao PDR,LAO,4.19,3.991,3.829,3.706,3.619,3.562,3.52,3.481,3.432,3.368,3.29,3.2,3.108
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Latvia,LVA,1.24,1.21,1.26,1.32,1.29,1.39,1.46,1.54,1.58,1.46,1.36,1.33,1.44
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Lebanon,LBN,2.226,2.137,2.044,1.948,1.854,1.765,1.686,1.621,1.57,1.535,1.513,1.502,1.498
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Lesotho,LSO,4.089,3.975,3.862,3.754,3.654,3.562,3.48,3.405,3.335,3.269,3.207,3.148,3.092
