"CC","Country","Year","Survey","Topic","Table","Indicator","By-Variable","Category","Characteristic","Precision","Value"
"ML","Mali",2006,"2006 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,94
"ML","Mali",2006,"2006 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"ML","Mali",2006,"2006 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"ML","Mali",2006,"2006 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"ML","Mali",2006,"2006 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"ML","Mali",2006,"2006 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,20.9
"ML","Mali",2001,"2001 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,97.2
"ML","Mali",2001,"2001 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,96.9
"ML","Mali",2001,"2001 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"ML","Mali",2001,"2001 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"ML","Mali",2001,"2001 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"ML","Mali",2001,"2001 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"ML","Mali",2001,"2001 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,21.7
"ML","Mali",1996,"1995-96 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,97.5
"ML","Mali",1996,"1995-96 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"ML","Mali",1996,"1995-96 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"ML","Mali",1996,"1995-96 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"ML","Mali",1996,"1995-96 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"ML","Mali",1996,"1995-96 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,21.6
"ML","Mali",1987,"1987 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"ML","Mali",1987,"1987 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"ML","Mali",1987,"1987 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"ML","Mali",1987,"1987 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"ML","Mali",1987,"1987 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,18.3
"MR","Mauritania",2000,"2000-01 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,95.8
"MR","Mauritania",2000,"2000-01 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,95.2
"MR","Mauritania",2000,"2000-01 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"MR","Mauritania",2000,"2000-01 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"MR","Mauritania",2000,"2000-01 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"MR","Mauritania",2000,"2000-01 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"MR","Mauritania",2000,"2000-01 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,20.6
"MZ","Mozambique",2011,"2011 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,97
"MZ","Mozambique",2011,"2011 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,96.9
"MZ","Mozambique",2011,"2011 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"MZ","Mozambique",2011,"2011 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"MZ","Mozambique",2011,"2011 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"MZ","Mozambique",2011,"2011 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"MZ","Mozambique",2011,"2011 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,20.8
"MZ","Mozambique",2003,"2003 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,98.3
"MZ","Mozambique",2003,"2003 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,98.3
"MZ","Mozambique",2003,"2003 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"MZ","Mozambique",2003,"2003 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"MZ","Mozambique",2003,"2003 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"MZ","Mozambique",2003,"2003 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"MZ","Mozambique",2003,"2003 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,22.1
"MZ","Mozambique",1997,"1997 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,98.1
"MZ","Mozambique",1997,"1997 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"MZ","Mozambique",1997,"1997 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"MZ","Mozambique",1997,"1997 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"MZ","Mozambique",1997,"1997 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"MZ","Mozambique",1997,"1997 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,22
"NM","Namibia",2006,"2006-07 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,93.3
"NM","Namibia",2006,"2006-07 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,93.8
"NM","Namibia",2006,"2006-07 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"NM","Namibia",2006,"2006-07 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"NM","Namibia",2006,"2006-07 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"NM","Namibia",2006,"2006-07 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"NM","Namibia",2006,"2006-07 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,16.8
"NM","Namibia",2000,"2000 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,95.4
"NM","Namibia",2000,"2000 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,95.1
"NM","Namibia",2000,"2000 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"NM","Namibia",2000,"2000 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"NM","Namibia",2000,"2000 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"NM","Namibia",2000,"2000 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"NM","Namibia",2000,"2000 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,18.6
"NM","Namibia",1992,"1992 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,95.7
"NM","Namibia",1992,"1992 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,95.5
"NM","Namibia",1992,"1992 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"NM","Namibia",1992,"1992 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"NM","Namibia",1992,"1992 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"NM","Namibia",1992,"1992 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"NM","Namibia",1992,"1992 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,17.3
"NI","Niger",2012,"2012 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,98.3
"NI","Niger",2012,"2012 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,98
"NI","Niger",2012,"2012 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"NI","Niger",2012,"2012 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"NI","Niger",2012,"2012 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"NI","Niger",2012,"2012 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"NI","Niger",2012,"2012 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,20.5
"NI","Niger",2006,"2006 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,98.3
"NI","Niger",2006,"2006 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,98.1
"NI","Niger",2006,"2006 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"NI","Niger",2006,"2006 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"NI","Niger",2006,"2006 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"NI","Niger",2006,"2006 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"NI","Niger",2006,"2006 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,21.4
"NI","Niger",1998,"1998 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,97.9
"NI","Niger",1998,"1998 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"NI","Niger",1998,"1998 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"NI","Niger",1998,"1998 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"NI","Niger",1998,"1998 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"NI","Niger",1998,"1998 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,20.6
"NI","Niger",1992,"1992 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,97.8
"NI","Niger",1992,"1992 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,97.9
"NI","Niger",1992,"1992 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"NI","Niger",1992,"1992 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"NI","Niger",1992,"1992 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"NI","Niger",1992,"1992 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"NI","Niger",1992,"1992 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,20.9
"NG","Nigeria",2008,"2008 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,97.8
"NG","Nigeria",2008,"2008 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,97.6
"NG","Nigeria",2008,"2008 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"NG","Nigeria",2008,"2008 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"NG","Nigeria",2008,"2008 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"NG","Nigeria",2008,"2008 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"NG","Nigeria",2008,"2008 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,18.2
"NG","Nigeria",2003,"2003 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,97.7
"NG","Nigeria",2003,"2003 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,97.4
"NG","Nigeria",2003,"2003 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"NG","Nigeria",2003,"2003 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"NG","Nigeria",2003,"2003 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"NG","Nigeria",2003,"2003 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"NG","Nigeria",2003,"2003 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,18.6
"NG","Nigeria",1999,"1999 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,96.2
"NG","Nigeria",1999,"1999 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"NG","Nigeria",1999,"1999 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"NG","Nigeria",1999,"1999 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"NG","Nigeria",1999,"1999 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"NG","Nigeria",1999,"1999 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,18
"NG","Nigeria",1990,"1990 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,97.5
"NG","Nigeria",1990,"1990 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,97.3
"NG","Nigeria",1990,"1990 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"NG","Nigeria",1990,"1990 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"NG","Nigeria",1990,"1990 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"NG","Nigeria",1990,"1990 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"NG","Nigeria",1990,"1990 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,19.7
"RW","Rwanda",2010,"2010 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,98.4
"RW","Rwanda",2010,"2010 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,98.4
"RW","Rwanda",2010,"2010 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"RW","Rwanda",2010,"2010 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"RW","Rwanda",2010,"2010 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"RW","Rwanda",2010,"2010 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"RW","Rwanda",2010,"2010 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,29.4
"RW","Rwanda",2008,"2007-08 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,98.1
"RW","Rwanda",2008,"2007-08 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,98
"RW","Rwanda",2008,"2007-08 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,26.3
"RW","Rwanda",2005,"2005 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,97.5
"RW","Rwanda",2005,"2005 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,97.1
"RW","Rwanda",2005,"2005 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"RW","Rwanda",2005,"2005 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"RW","Rwanda",2005,"2005 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"RW","Rwanda",2005,"2005 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"RW","Rwanda",2005,"2005 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,25.2
"RW","Rwanda",2000,"2000 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,97.3
"RW","Rwanda",2000,"2000 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,97.1
"RW","Rwanda",2000,"2000 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"RW","Rwanda",2000,"2000 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"RW","Rwanda",2000,"2000 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"RW","Rwanda",2000,"2000 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"RW","Rwanda",2000,"2000 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,22.1
"RW","Rwanda",1992,"1992 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,98.5
"RW","Rwanda",1992,"1992 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,98.2
"RW","Rwanda",1992,"1992 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"RW","Rwanda",1992,"1992 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"RW","Rwanda",1992,"1992 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"RW","Rwanda",1992,"1992 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"RW","Rwanda",1992,"1992 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,27.9
"ST","Sao Tome and Principe",2008,"2008-09 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,98.2
"ST","Sao Tome and Principe",2008,"2008-09 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,97.9
"ST","Sao Tome and Principe",2008,"2008-09 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"ST","Sao Tome and Principe",2008,"2008-09 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"ST","Sao Tome and Principe",2008,"2008-09 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"ST","Sao Tome and Principe",2008,"2008-09 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"ST","Sao Tome and Principe",2008,"2008-09 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,17
"SN","Senegal",2010,"2010-11 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,96.9
"SN","Senegal",2010,"2010-11 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,96.5
"SN","Senegal",2010,"2010-11 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"SN","Senegal",2010,"2010-11 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"SN","Senegal",2010,"2010-11 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"SN","Senegal",2010,"2010-11 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"SN","Senegal",2010,"2010-11 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,20.9
"SN","Senegal",2005,"2005 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,97.1
"SN","Senegal",2005,"2005 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,96.4
"SN","Senegal",2005,"2005 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"SN","Senegal",2005,"2005 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"SN","Senegal",2005,"2005 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"SN","Senegal",2005,"2005 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"SN","Senegal",2005,"2005 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,20.1
"SN","Senegal",1997,"1997 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,97.6
"SN","Senegal",1997,"1997 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,97.2
"SN","Senegal",1997,"1997 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"SN","Senegal",1997,"1997 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"SN","Senegal",1997,"1997 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"SN","Senegal",1997,"1997 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"SN","Senegal",1997,"1997 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,20.9
"SN","Senegal",1993,"1992-93 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,97.9
"SN","Senegal",1993,"1992-93 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,97.8
"SN","Senegal",1993,"1992-93 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"SN","Senegal",1993,"1992-93 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"SN","Senegal",1993,"1992-93 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"SN","Senegal",1993,"1992-93 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"SN","Senegal",1993,"1992-93 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,20.2
"SN","Senegal",1986,"1986 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"SN","Senegal",1986,"1986 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"SN","Senegal",1986,"1986 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"SN","Senegal",1986,"1986 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"SN","Senegal",1986,"1986 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,18.8
"SL","Sierra Leone",2008,"2008 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,95
"SL","Sierra Leone",2008,"2008 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,94.6
"SL","Sierra Leone",2008,"2008 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"SL","Sierra Leone",2008,"2008 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"SL","Sierra Leone",2008,"2008 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"SL","Sierra Leone",2008,"2008 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"SL","Sierra Leone",2008,"2008 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,19.7
"ZA","South Africa",1998,"1998 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,87.6
"ZA","South Africa",1998,"1998 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,86.7
"ZA","South Africa",1998,"1998 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"ZA","South Africa",1998,"1998 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"ZA","South Africa",1998,"1998 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"ZA","South Africa",1998,"1998 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"ZA","South Africa",1998,"1998 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,16
"SD","Sudan",1990,"1989-90 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"SD","Sudan",1990,"1989-90 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"SD","Sudan",1990,"1989-90 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
"SD","Sudan",1990,"1989-90 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","7-9 months",1,100
"SD","Sudan",1990,"1989-90 DHS","Median duration and frequency of breastfeeding","Median breastfeeding durations","Any breastfeeding","","Total","Total",1,18.9
"SZ","Swaziland",2006,"2006-07 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in three years preceding the survey","Total","Total",1,93.5
"SZ","Swaziland",2006,"2006-07 DHS","Initial breastfeeding","Time to begin breastfeeding","Ever breastfed","Births in five years preceding the survey","Total","Total",1,94.5
"SZ","Swaziland",2006,"2006-07 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","< 6 months",1,100
"SZ","Swaziland",2006,"2006-07 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","0-3 months",1,100
"SZ","Swaziland",2006,"2006-07 DHS","Breastfeeding status","Breastfeeding status","Total","","Age","4-6 months",1,100
