"","ItemName","AreaName","ElementName","Value","CO2RR","CO2SE","note","cal","proteinCO2","protein.cal.CO2","CO2.SE.weighted"
"15474","Cocoa Beans and products","Oceania","Protein supply quantity (g/capita/day)",1,0.810397639,0.072493085,"av veg",4.25,0.810397639,3.44418996575,0.00525524737281723
"15481","Cocoa Beans and products","Myanmar","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"15485","Cocoa Beans and products","Republic of Moldova","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"15490","Cocoa Beans and products","Western Africa","Protein supply quantity (g/capita/day)",0,0.810397639,0.072493085,"av veg",0,0,0,0
"15525","Coconut Oil","Oceania","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"15532","Coconut Oil","Denmark","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"15533","Coconut Oil","Sweden","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"15568","Coconut Oil","Barbados","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"15601","Coconut Oil","Europe","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"15610","Coconut Oil","Portugal","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"15622","Coconut Oil","Southern Europe","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"15626","Coconut Oil","Australia & New Zealand","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"15632","Coconut Oil","Eastern Europe","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"15651","Coconut Oil","Australia","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"15663","Coconut Oil","Austria","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"15669","Coconut Oil","Asia","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"15686","Coconut Oil","Suriname","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"15687","Coconut Oil","Ireland","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"15721","Coconut Oil","Finland","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"15722","Coconut Oil","Guyana","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"15739","Coconut Oil","Caribbean","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"15749","Coconut Oil","United States of America","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"15758","Coconut Oil","World","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"15778","Coconut Oil","Trinidad and Tobago","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"15804","Coconut Oil","Germany","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"15805","Coconut Oil","Venezuela (Bolivarian Republic of)","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"15813","Coconut Oil","France","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"15896","Coconut Oil","Pakistan","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"15909","Coconut Oil","Canada","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"15937","Coconut Oil","Low Income Food Deficit Countries","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"15984","Coconut Oil","South America","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"15986","Coconut Oil","Net Food Importing Developing Countries","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"15992","Coconut Oil","Americas","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"15996","Coconut Oil","European Union","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"15997","Coconut Oil","Saint Lucia","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"16008","Coconut Oil","Land Locked Developing Countries","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"16013","Coconut Oil","Italy","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"16039","Coconut Oil","Ecuador","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"16050","Coconut Oil","Spain","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"16052","Coconut Oil","Netherlands","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"16056","Coconut Oil","Turkey","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"16062","Coconut Oil","Western Europe","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"16065","Coconut Oil","Jamaica","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"16069","Coconut Oil","Belgium","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"16085","Coconut Oil","New Zealand","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"16086","Coconut Oil","Norway","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"16101","Coconut Oil","Poland","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"16126","Coconut Oil","Least Developed Countries","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"16149","Coconut Oil","Mexico","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"16156","Coconut Oil","Central America","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"16169","Coconut Oil","Western Asia","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"16179","Coconut Oil","Northern Europe","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"16182","Coconut Oil","Nepal","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"16184","Coconut Oil","Northern America","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"16195","Coconut Oil","Small Island Developing States","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"16221","Coconut Oil","Southern Asia","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"",0,0,0,0
"16248","Coconuts - Incl Copra","Eastern Africa","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16249","Coconuts - Incl Copra","Sweden","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16257","Coconuts - Incl Copra","Western Asia","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16266","Coconuts - Incl Copra","Benin","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16272","Coconuts - Incl Copra","Thailand","Protein supply quantity (g/capita/day)",1,0.991652012,0.00929507,"oilcrop av",4.25,0.991652012,4.214521051,8.63983263049e-05
"16280","Coconuts - Incl Copra","Ireland","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16281","Coconuts - Incl Copra","Central Asia","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16298","Coconuts - Incl Copra","Senegal","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16316","Coconuts - Incl Copra","Namibia","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16321","Coconuts - Incl Copra","Europe","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16323","Coconuts - Incl Copra","Uganda","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16326","Coconuts - Incl Copra","Argentina","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16327","Coconuts - Incl Copra","Cameroon","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16331","Coconuts - Incl Copra","Rwanda","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16343","Coconuts - Incl Copra","Denmark","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16344","Coconuts - Incl Copra","Estonia","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16349","Coconuts - Incl Copra","Yemen","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16351","Coconuts - Incl Copra","Mauritius","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16352","Coconuts - Incl Copra","Turkey","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16364","Coconuts - Incl Copra","The former Yugoslav Republic of Macedonia","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16366","Coconuts - Incl Copra","Saudi Arabia","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16373","Coconuts - Incl Copra","Switzerland","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16377","Coconuts - Incl Copra","South-Eastern Asia","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16380","Coconuts - Incl Copra","Israel","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16386","Coconuts - Incl Copra","Bangladesh","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16393","Coconuts - Incl Copra","Southern Europe","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16399","Coconuts - Incl Copra","Republic of Korea","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16414","Coconuts - Incl Copra","Uzbekistan","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16424","Coconuts - Incl Copra","Cyprus","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16428","Coconuts - Incl Copra","Canada","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16432","Coconuts - Incl Copra","Sudan (former)","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16436","Coconuts - Incl Copra","Togo","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16446","Coconuts - Incl Copra","Sierra Leone","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16451","Coconuts - Incl Copra","Myanmar","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16453","Coconuts - Incl Copra","Bahamas","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16459","Coconuts - Incl Copra","Poland","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16477","Coconuts - Incl Copra","Least Developed Countries","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16483","Coconuts - Incl Copra","Guinea-Bissau","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16484","Coconuts - Incl Copra","Nigeria","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16491","Coconuts - Incl Copra","China, Hong Kong SAR","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16494","Coconuts - Incl Copra","Southern Asia","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16495","Coconuts - Incl Copra","Tunisia","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16502","Coconuts - Incl Copra","Iran (Islamic Republic of)","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16504","Coconuts - Incl Copra","Belarus","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16520","Coconuts - Incl Copra","Northern Africa","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16526","Coconuts - Incl Copra","United States of America","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16528","Coconuts - Incl Copra","Lebanon","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16531","Coconuts - Incl Copra","Sri Lanka","Protein supply quantity (g/capita/day)",3,0.991652012,0.00929507,"oilcrop av",12.75,2.974956036,12.643563153,0.0007775849367441
"16533","Coconuts - Incl Copra","Egypt","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16535","Coconuts - Incl Copra","Guyana","Protein supply quantity (g/capita/day)",1,0.991652012,0.00929507,"oilcrop av",4.25,0.991652012,4.214521051,8.63983263049e-05
"16538","Coconuts - Incl Copra","Northern America","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16543","Coconuts - Incl Copra","Mozambique","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16551","Coconuts - Incl Copra","Syrian Arab Republic","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16562","Coconuts - Incl Copra","Bulgaria","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16563","Coconuts - Incl Copra","Polynesia","Protein supply quantity (g/capita/day)",3,0.991652012,0.00929507,"oilcrop av",12.75,2.974956036,12.643563153,0.0007775849367441
"16568","Coconuts - Incl Copra","Solomon Islands","Protein supply quantity (g/capita/day)",2,0.991652012,0.00929507,"oilcrop av",8.5,1.983304024,8.429042102,0.0003455933052196
"16570","Coconuts - Incl Copra","Fiji","Protein supply quantity (g/capita/day)",2,0.991652012,0.00929507,"oilcrop av",8.5,1.983304024,8.429042102,0.0003455933052196
"16573","Coconuts - Incl Copra","Nicaragua","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16580","Coconuts - Incl Copra","Spain","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16581","Coconuts - Incl Copra","Serbia and Montenegro","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16583","Coconuts - Incl Copra","Central America","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16585","Coconuts - Incl Copra","China, Taiwan Province of","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16592","Coconuts - Incl Copra","Australia","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16594","Coconuts - Incl Copra","Barbados","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16600","Coconuts - Incl Copra","Land Locked Developing Countries","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16609","Coconuts - Incl Copra","Albania","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16610","Coconuts - Incl Copra","Eastern Asia","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16617","Coconuts - Incl Copra","Morocco","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16618","Coconuts - Incl Copra","United Republic of Tanzania","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16619","Coconuts - Incl Copra","Hungary","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16625","Coconuts - Incl Copra","Luxembourg","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16629","Coconuts - Incl Copra","Iceland","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16632","Coconuts - Incl Copra","Oceania","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16633","Coconuts - Incl Copra","Swaziland","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16635","Coconuts - Incl Copra","Austria","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16636","Coconuts - Incl Copra","Greece","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16637","Coconuts - Incl Copra","Ecuador","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16644","Coconuts - Incl Copra","Western Africa","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16648","Coconuts - Incl Copra","Eastern Europe","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16650","Coconuts - Incl Copra","Vanuatu","Protein supply quantity (g/capita/day)",4,0.991652012,0.00929507,"oilcrop av",17,3.966608048,16.858084204,0.0013823732208784
"16657","Coconuts - Incl Copra","Croatia","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16661","Coconuts - Incl Copra","Slovenia","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16663","Coconuts - Incl Copra","Africa","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16672","Coconuts - Incl Copra","United Arab Emirates","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16675","Coconuts - Incl Copra","Cuba","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16678","Coconuts - Incl Copra","Colombia","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16682","Coconuts - Incl Copra","New Zealand","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16685","Coconuts - Incl Copra","Republic of Moldova","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16704","Coconuts - Incl Copra","United Kingdom","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16707","Coconuts - Incl Copra","Portugal","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16709","Coconuts - Incl Copra","Antigua and Barbuda","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16714","Coconuts - Incl Copra","Mali","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16722","Coconuts - Incl Copra","World","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16725","Coconuts - Incl Copra","France","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16726","Coconuts - Incl Copra","Botswana","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16728","Coconuts - Incl Copra","Côte d'Ivoire","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16731","Coconuts - Incl Copra","Uruguay","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16735","Coconuts - Incl Copra","Somalia","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16745","Coconuts - Incl Copra","Libya","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16767","Coconuts - Incl Copra","Zimbabwe","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16772","Coconuts - Incl Copra","Americas","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16776","Coconuts - Incl Copra","Brunei Darussalam","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16778","Coconuts - Incl Copra","Melanesia","Protein supply quantity (g/capita/day)",2,0.991652012,0.00929507,"oilcrop av",8.5,1.983304024,8.429042102,0.0003455933052196
"16783","Coconuts - Incl Copra","Nepal","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16787","Coconuts - Incl Copra","China, mainland","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16790","Coconuts - Incl Copra","Burkina Faso","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16791","Coconuts - Incl Copra","Jordan","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16793","Coconuts - Incl Copra","Timor-Leste","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16797","Coconuts - Incl Copra","Middle Africa","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16802","Coconuts - Incl Copra","Armenia","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16807","Coconuts - Incl Copra","Zambia","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16808","Coconuts - Incl Copra","Brazil","Protein supply quantity (g/capita/day)",1,0.991652012,0.00929507,"oilcrop av",4.25,0.991652012,4.214521051,8.63983263049e-05
"16809","Coconuts - Incl Copra","Serbia","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16815","Coconuts - Incl Copra","Jamaica","Protein supply quantity (g/capita/day)",1,0.991652012,0.00929507,"oilcrop av",4.25,0.991652012,4.214521051,8.63983263049e-05
"16827","Coconuts - Incl Copra","Haiti","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16834","Coconuts - Incl Copra","Lithuania","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16837","Coconuts - Incl Copra","Kuwait","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16838","Coconuts - Incl Copra","Trinidad and Tobago","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16848","Coconuts - Incl Copra","Sao Tome and Principe","Protein supply quantity (g/capita/day)",3,0.991652012,0.00929507,"oilcrop av",12.75,2.974956036,12.643563153,0.0007775849367441
"16851","Coconuts - Incl Copra","Russian Federation","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16854","Coconuts - Incl Copra","Iraq","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16867","Coconuts - Incl Copra","Low Income Food Deficit Countries","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16873","Coconuts - Incl Copra","Latvia","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16881","Coconuts - Incl Copra","Samoa","Protein supply quantity (g/capita/day)",5,0.991652012,0.00929507,"oilcrop av",21.25,4.95826006,21.072605255,0.0021599581576225
"16883","Coconuts - Incl Copra","Dominican Republic","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16889","Coconuts - Incl Copra","European Union","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16890","Coconuts - Incl Copra","Peru","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16900","Coconuts - Incl Copra","Grenada","Protein supply quantity (g/capita/day)",1,0.991652012,0.00929507,"oilcrop av",4.25,0.991652012,4.214521051,8.63983263049e-05
"16904","Coconuts - Incl Copra","Algeria","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16906","Coconuts - Incl Copra","Netherlands","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16913","Coconuts - Incl Copra","Norway","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16919","Coconuts - Incl Copra","China, Macao SAR","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16924","Coconuts - Incl Copra","Caribbean","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16925","Coconuts - Incl Copra","Gambia","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16931","Coconuts - Incl Copra","Georgia","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16945","Coconuts - Incl Copra","Panama","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16946","Coconuts - Incl Copra","South Africa","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16952","Coconuts - Incl Copra","Liberia","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16953","Coconuts - Incl Copra","Belgium","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16954","Coconuts - Incl Copra","Small Island Developing States","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16957","Coconuts - Incl Copra","Indonesia","Protein supply quantity (g/capita/day)",1,0.991652012,0.00929507,"oilcrop av",4.25,0.991652012,4.214521051,8.63983263049e-05
"16959","Coconuts - Incl Copra","Germany","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16966","Coconuts - Incl Copra","Congo","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16971","Coconuts - Incl Copra","Saint Kitts and Nevis","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16973","Coconuts - Incl Copra","Ukraine","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
"16979","Coconuts - Incl Copra","Malta","Protein supply quantity (g/capita/day)",0,0.991652012,0.00929507,"oilcrop av",0,0,0,0
