"","AreaName","ElementName","ItemName","Value"
"20852","Australia","Food supply (kcal/capita/day)","Dates",1
"20865","Japan","Food supply (kcal/capita/day)","Dates",0
"20871","Morocco","Food supply (kcal/capita/day)","Dates",16
"20873","Côte d'Ivoire","Food supply (kcal/capita/day)","Dates",0
"20875","China","Food supply (kcal/capita/day)","Dates",1
"20877","Georgia","Food supply (kcal/capita/day)","Dates",0
"20879","Bulgaria","Food supply (kcal/capita/day)","Dates",0
"20884","Ireland","Food supply (kcal/capita/day)","Dates",0
"20888","United States of America","Food supply (kcal/capita/day)","Dates",1
"20891","El Salvador","Food supply (kcal/capita/day)","Dates",0
"20892","The former Yugoslav Republic of Macedonia","Food supply (kcal/capita/day)","Dates",1
"20894","Philippines","Food supply (kcal/capita/day)","Dates",0
"20895","Net Food Importing Developing Countries","Food supply (kcal/capita/day)","Dates",8
"20899","Sierra Leone","Food supply (kcal/capita/day)","Dates",0
"20902","Estonia","Food supply (kcal/capita/day)","Dates",0
"20904","Melanesia","Food supply (kcal/capita/day)","Dates",0
"20905","Mali","Food supply (kcal/capita/day)","Dates",0
"20910","Mongolia","Food supply (kcal/capita/day)","Dates",0
"20914","Czech Republic","Food supply (kcal/capita/day)","Dates",0
"20918","Serbia and Montenegro","Food supply (kcal/capita/day)","Dates",0
"20921","Canada","Food supply (kcal/capita/day)","Dates",2
"20925","South America","Food supply (kcal/capita/day)","Dates",0
"20943","Belarus","Food supply (kcal/capita/day)","Dates",0
"20950","Barbados","Food supply (kcal/capita/day)","Dates",1
"20958","Algeria","Food supply (kcal/capita/day)","Dates",90
"20962","Jordan","Food supply (kcal/capita/day)","Dates",11
"20963","Saudi Arabia","Food supply (kcal/capita/day)","Dates",149
"20964","Slovenia","Food supply (kcal/capita/day)","Dates",0
"20965","Cambodia","Food supply (kcal/capita/day)","Dates",0
"20970","Ukraine","Food supply (kcal/capita/day)","Dates",0
"20979","Armenia","Food supply (kcal/capita/day)","Dates",1
"20982","Guinea","Food supply (kcal/capita/day)","Dates",0
"20985","Eastern Africa","Food supply (kcal/capita/day)","Dates",0
"20987","Denmark","Food supply (kcal/capita/day)","Dates",4
"21000","New Caledonia","Food supply (kcal/capita/day)","Dates",0
"21001","Panama","Food supply (kcal/capita/day)","Dates",0
"21011","Guatemala","Food supply (kcal/capita/day)","Dates",0
"21028","China, Hong Kong SAR","Food supply (kcal/capita/day)","Dates",1
"21029","Swaziland","Food supply (kcal/capita/day)","Dates",1
"21033","Gabon","Food supply (kcal/capita/day)","Dates",0
"21037","Austria","Food supply (kcal/capita/day)","Dates",1
"21040","Bangladesh","Food supply (kcal/capita/day)","Dates",0
"21042","Occupied Palestinian Territory","Food supply (kcal/capita/day)","Dates",4
"21045","South Africa","Food supply (kcal/capita/day)","Dates",0
"21051","Montenegro","Food supply (kcal/capita/day)","Dates",0
"21057","Turkey","Food supply (kcal/capita/day)","Dates",4
"21063","Maldives","Food supply (kcal/capita/day)","Dates",4
"21064","Senegal","Food supply (kcal/capita/day)","Dates",1
"21069","Europe","Food supply (kcal/capita/day)","Dates",1
"21076","Bahamas","Food supply (kcal/capita/day)","Dates",0
"21078","Northern Europe","Food supply (kcal/capita/day)","Dates",1
"21080","Switzerland","Food supply (kcal/capita/day)","Dates",2
"21084","Uzbekistan","Food supply (kcal/capita/day)","Dates",0
"21093","Uruguay","Food supply (kcal/capita/day)","Dates",0
"21095","Iraq","Food supply (kcal/capita/day)","Dates",30
"21097","Russian Federation","Food supply (kcal/capita/day)","Dates",1
"21109","French Polynesia","Food supply (kcal/capita/day)","Dates",0
"21116","Cameroon","Food supply (kcal/capita/day)","Dates",0
"21122","Nepal","Food supply (kcal/capita/day)","Dates",0
"21127","Albania","Food supply (kcal/capita/day)","Dates",16
"21129","India","Food supply (kcal/capita/day)","Dates",1
"21134","Kyrgyzstan","Food supply (kcal/capita/day)","Dates",0
"21141","Gambia","Food supply (kcal/capita/day)","Dates",0
"21147","Zambia","Food supply (kcal/capita/day)","Dates",0
"21149","France","Food supply (kcal/capita/day)","Dates",1
"21153","Zimbabwe","Food supply (kcal/capita/day)","Dates",0
"21163","Fiji","Food supply (kcal/capita/day)","Dates",0
"21179","Southern Asia","Food supply (kcal/capita/day)","Dates",4
"21184","Venezuela (Bolivarian Republic of)","Food supply (kcal/capita/day)","Dates",0
"21199","Asia","Food supply (kcal/capita/day)","Dates",3
"21201","Northern America","Food supply (kcal/capita/day)","Dates",1
"21203","Namibia","Food supply (kcal/capita/day)","Dates",1
"21206","Brunei Darussalam","Food supply (kcal/capita/day)","Dates",0
"21207","Benin","Food supply (kcal/capita/day)","Dates",1
"21211","Poland","Food supply (kcal/capita/day)","Dates",0
"21219","Sri Lanka","Food supply (kcal/capita/day)","Dates",2
"21220","Belgium","Food supply (kcal/capita/day)","Dates",1
"21225","Ghana","Food supply (kcal/capita/day)","Dates",0
"21227","Syrian Arab Republic","Food supply (kcal/capita/day)","Dates",1
"21230","Southern Africa","Food supply (kcal/capita/day)","Dates",0
"21232","Sweden","Food supply (kcal/capita/day)","Dates",1
"21250","Thailand","Food supply (kcal/capita/day)","Dates",0
"21257","Kenya","Food supply (kcal/capita/day)","Dates",0
"21258","Southern Europe","Food supply (kcal/capita/day)","Dates",1
"21259","Eastern Asia","Food supply (kcal/capita/day)","Dates",1
"21267","Central America","Food supply (kcal/capita/day)","Dates",0
"21271","Least Developed Countries","Food supply (kcal/capita/day)","Dates",3
"21275","Botswana","Food supply (kcal/capita/day)","Dates",0
"21276","Greece","Food supply (kcal/capita/day)","Dates",0
"21277","Western Asia","Food supply (kcal/capita/day)","Dates",28
"21280","Chad","Food supply (kcal/capita/day)","Dates",7
"21282","Ecuador","Food supply (kcal/capita/day)","Dates",0
"21286","Somalia","Food supply (kcal/capita/day)","Dates",6
"21296","Lebanon","Food supply (kcal/capita/day)","Dates",6
"21298","Finland","Food supply (kcal/capita/day)","Dates",1
"21300","Malta","Food supply (kcal/capita/day)","Dates",3
"21303","Myanmar","Food supply (kcal/capita/day)","Dates",0
"21304","Mauritius","Food supply (kcal/capita/day)","Dates",1
"21307","China, mainland","Food supply (kcal/capita/day)","Dates",1
"21319","Kuwait","Food supply (kcal/capita/day)","Dates",42
"21324","Norway","Food supply (kcal/capita/day)","Dates",1
"21327","United Arab Emirates","Food supply (kcal/capita/day)","Dates",29
"21332","Spain","Food supply (kcal/capita/day)","Dates",1
"21345","Viet Nam","Food supply (kcal/capita/day)","Dates",0
"21347","Cuba","Food supply (kcal/capita/day)","Dates",0
"21349","Romania","Food supply (kcal/capita/day)","Dates",0
"21354","Luxembourg","Food supply (kcal/capita/day)","Dates",0
"21355","Australia & New Zealand","Food supply (kcal/capita/day)","Dates",1
"21361","World","Food supply (kcal/capita/day)","Dates",4
"21370","Sudan (former)","Food supply (kcal/capita/day)","Dates",38
"21373","Cabo Verde","Food supply (kcal/capita/day)","Dates",0
"21379","Eastern Europe","Food supply (kcal/capita/day)","Dates",0
"21382","Croatia","Food supply (kcal/capita/day)","Dates",0
"21385","Saint Lucia","Food supply (kcal/capita/day)","Dates",0
"21391","Northern Africa","Food supply (kcal/capita/day)","Dates",55
"21393","Azerbaijan","Food supply (kcal/capita/day)","Dates",0
"21399","Lithuania","Food supply (kcal/capita/day)","Dates",0
"21401","Middle Africa","Food supply (kcal/capita/day)","Dates",1
"21405","Afghanistan","Food supply (kcal/capita/day)","Dates",1
"21406","Cyprus","Food supply (kcal/capita/day)","Dates",2
"21408","Belize","Food supply (kcal/capita/day)","Dates",0
"21412","Small Island Developing States","Food supply (kcal/capita/day)","Dates",0
"21423","Mexico","Food supply (kcal/capita/day)","Dates",0
"21426","Madagascar","Food supply (kcal/capita/day)","Dates",0
"21429","Ethiopia","Food supply (kcal/capita/day)","Dates",0
"21442","Peru","Food supply (kcal/capita/day)","Dates",0
"21452","Germany","Food supply (kcal/capita/day)","Dates",1
"21454","Yemen","Food supply (kcal/capita/day)","Dates",15
"21458","Colombia","Food supply (kcal/capita/day)","Dates",0
"21460","Tunisia","Food supply (kcal/capita/day)","Dates",25
"21462","Honduras","Food supply (kcal/capita/day)","Dates",0
"21473","Congo","Food supply (kcal/capita/day)","Dates",0
"21479","Italy","Food supply (kcal/capita/day)","Dates",1
"21483","Chile","Food supply (kcal/capita/day)","Dates",0
"21486","Mauritania","Food supply (kcal/capita/day)","Dates",30
"21488","United Republic of Tanzania","Food supply (kcal/capita/day)","Dates",0
"21489","China, Macao SAR","Food supply (kcal/capita/day)","Dates",0
"21501","Latvia","Food supply (kcal/capita/day)","Dates",1
"21516","Western Europe","Food supply (kcal/capita/day)","Dates",1
"21519","Trinidad and Tobago","Food supply (kcal/capita/day)","Dates",0
"21520","Argentina","Food supply (kcal/capita/day)","Dates",0
"21528","Hungary","Food supply (kcal/capita/day)","Dates",0
"21534","Western Africa","Food supply (kcal/capita/day)","Dates",1
"21535","Bolivia (Plurinational State of)","Food supply (kcal/capita/day)","Dates",0
"21536","Caribbean","Food supply (kcal/capita/day)","Dates",0
"21537","Republic of Moldova","Food supply (kcal/capita/day)","Dates",0
"21540","Brazil","Food supply (kcal/capita/day)","Dates",0
"21543","European Union","Food supply (kcal/capita/day)","Dates",1
"21546","Malawi","Food supply (kcal/capita/day)","Dates",0
"21548","New Zealand","Food supply (kcal/capita/day)","Dates",1
"21553","Grenada","Food supply (kcal/capita/day)","Dates",0
"21556","Angola","Food supply (kcal/capita/day)","Dates",0
"21561","Polynesia","Food supply (kcal/capita/day)","Dates",0
"21575","Saint Vincent and the Grenadines","Food supply (kcal/capita/day)","Dates",0
"21582","Dominican Republic","Food supply (kcal/capita/day)","Dates",0
"21583","Libya","Food supply (kcal/capita/day)","Dates",71
"21587","Serbia","Food supply (kcal/capita/day)","Dates",0
"21596","Bosnia and Herzegovina","Food supply (kcal/capita/day)","Dates",0
"21600","Republic of Korea","Food supply (kcal/capita/day)","Dates",0
"21605","Israel","Food supply (kcal/capita/day)","Dates",19
"21610","Nigeria","Food supply (kcal/capita/day)","Dates",0
"21612","Central African Republic","Food supply (kcal/capita/day)","Demersal Fish",0
"21613","Guinea-Bissau","Food supply (kcal/capita/day)","Demersal Fish",1
"21620","Russian Federation","Food supply (kcal/capita/day)","Demersal Fish",22
"21623","Kazakhstan","Food supply (kcal/capita/day)","Demersal Fish",0
"21625","Occupied Palestinian Territory","Food supply (kcal/capita/day)","Demersal Fish",0
"21626","Czech Republic","Food supply (kcal/capita/day)","Demersal Fish",3
"21628","Cambodia","Food supply (kcal/capita/day)","Demersal Fish",0
"21635","Solomon Islands","Food supply (kcal/capita/day)","Demersal Fish",0
"21638","Kyrgyzstan","Food supply (kcal/capita/day)","Demersal Fish",0
"21645","Egypt","Food supply (kcal/capita/day)","Demersal Fish",4
"21647","Iran (Islamic Republic of)","Food supply (kcal/capita/day)","Demersal Fish",1
"21652","France","Food supply (kcal/capita/day)","Demersal Fish",36
"21653","Bolivia (Plurinational State of)","Food supply (kcal/capita/day)","Demersal Fish",0
"21662","Philippines","Food supply (kcal/capita/day)","Demersal Fish",5
"21674","Mozambique","Food supply (kcal/capita/day)","Demersal Fish",0
"21676","Bulgaria","Food supply (kcal/capita/day)","Demersal Fish",1
"21679","Indonesia","Food supply (kcal/capita/day)","Demersal Fish",7
"21680","Trinidad and Tobago","Food supply (kcal/capita/day)","Demersal Fish",2
"21686","Togo","Food supply (kcal/capita/day)","Demersal Fish",0
"21687","Melanesia","Food supply (kcal/capita/day)","Demersal Fish",2
"21704","Finland","Food supply (kcal/capita/day)","Demersal Fish",6
"21706","Panama","Food supply (kcal/capita/day)","Demersal Fish",3
"21708","Honduras","Food supply (kcal/capita/day)","Demersal Fish",0
"21714","Norway","Food supply (kcal/capita/day)","Demersal Fish",78
"21716","Central Asia","Food supply (kcal/capita/day)","Demersal Fish",0
"21722","Mali","Food supply (kcal/capita/day)","Demersal Fish",0
"21723","China, Hong Kong SAR","Food supply (kcal/capita/day)","Demersal Fish",16
"21724","Tunisia","Food supply (kcal/capita/day)","Demersal Fish",3
"21733","Gabon","Food supply (kcal/capita/day)","Demersal Fish",5
"21735","Canada","Food supply (kcal/capita/day)","Demersal Fish",6
"21746","Central America","Food supply (kcal/capita/day)","Demersal Fish",1
"21748","Ukraine","Food supply (kcal/capita/day)","Demersal Fish",1
"21750","Micronesia","Food supply (kcal/capita/day)","Demersal Fish",23
"21761","Eastern Africa","Food supply (kcal/capita/day)","Demersal Fish",0
"21763","Uruguay","Food supply (kcal/capita/day)","Demersal Fish",5
"21764","French Polynesia","Food supply (kcal/capita/day)","Demersal Fish",0
"21773","South Africa","Food supply (kcal/capita/day)","Demersal Fish",1
"21788","Fiji","Food supply (kcal/capita/day)","Demersal Fish",3
"21789","Austria","Food supply (kcal/capita/day)","Demersal Fish",8
"21792","Bahamas","Food supply (kcal/capita/day)","Demersal Fish",4
"21800","Senegal","Food supply (kcal/capita/day)","Demersal Fish",5
"21814","The former Yugoslav Republic of Macedonia","Food supply (kcal/capita/day)","Demersal Fish",2
"21815","India","Food supply (kcal/capita/day)","Demersal Fish",0
"21816","Oceania","Food supply (kcal/capita/day)","Demersal Fish",8
"21819","Dominican Republic","Food supply (kcal/capita/day)","Demersal Fish",4
"21824","Northern Europe","Food supply (kcal/capita/day)","Demersal Fish",15
"21828","Suriname","Food supply (kcal/capita/day)","Demersal Fish",0
"21831","Caribbean","Food supply (kcal/capita/day)","Demersal Fish",2
"21835","Denmark","Food supply (kcal/capita/day)","Demersal Fish",9
"21838","Sweden","Food supply (kcal/capita/day)","Demersal Fish",18
"21843","Angola","Food supply (kcal/capita/day)","Demersal Fish",7
"21847","United Republic of Tanzania","Food supply (kcal/capita/day)","Demersal Fish",1
"21864","Jamaica","Food supply (kcal/capita/day)","Demersal Fish",0
"21866","Georgia","Food supply (kcal/capita/day)","Demersal Fish",0
"21872","Haiti","Food supply (kcal/capita/day)","Demersal Fish",0
"21883","Belize","Food supply (kcal/capita/day)","Demersal Fish",0
"21888","Lesotho","Food supply (kcal/capita/day)","Demersal Fish",0
"21891","Djibouti","Food supply (kcal/capita/day)","Demersal Fish",1
"21902","Guinea","Food supply (kcal/capita/day)","Demersal Fish",3
"21913","Jordan","Food supply (kcal/capita/day)","Demersal Fish",0
"21915","Uganda","Food supply (kcal/capita/day)","Demersal Fish",0
"21928","United Arab Emirates","Food supply (kcal/capita/day)","Demersal Fish",14
"21930","Ethiopia","Food supply (kcal/capita/day)","Demersal Fish",0
"21932","Ecuador","Food supply (kcal/capita/day)","Demersal Fish",1
"21934","Switzerland","Food supply (kcal/capita/day)","Demersal Fish",4
"21936","Australia","Food supply (kcal/capita/day)","Demersal Fish",7
"21940","Turkmenistan","Food supply (kcal/capita/day)","Demersal Fish",0
"21941","Asia","Food supply (kcal/capita/day)","Demersal Fish",5
"21943","Tajikistan","Food supply (kcal/capita/day)","Demersal Fish",0
"21946","Nicaragua","Food supply (kcal/capita/day)","Demersal Fish",0
"21953","Antigua and Barbuda","Food supply (kcal/capita/day)","Demersal Fish",10
"21954","Serbia and Montenegro","Food supply (kcal/capita/day)","Demersal Fish",0
"21965","Botswana","Food supply (kcal/capita/day)","Demersal Fish",0
"21967","Bosnia and Herzegovina","Food supply (kcal/capita/day)","Demersal Fish",1
"21973","Brunei Darussalam","Food supply (kcal/capita/day)","Demersal Fish",0
"21974","Europe","Food supply (kcal/capita/day)","Demersal Fish",17
"21980","Democratic People's Republic of Korea","Food supply (kcal/capita/day)","Demersal Fish",4
"21988","Rwanda","Food supply (kcal/capita/day)","Demersal Fish",0
"21996","Morocco","Food supply (kcal/capita/day)","Demersal Fish",2
"21998","Poland","Food supply (kcal/capita/day)","Demersal Fish",8
"22006","Malta","Food supply (kcal/capita/day)","Demersal Fish",11
"22007","Mongolia","Food supply (kcal/capita/day)","Demersal Fish",0
"22012","Northern Africa","Food supply (kcal/capita/day)","Demersal Fish",2
"22019","Kenya","Food supply (kcal/capita/day)","Demersal Fish",0
"22029","Cameroon","Food supply (kcal/capita/day)","Demersal Fish",1
"22030","Cuba","Food supply (kcal/capita/day)","Demersal Fish",1
"22034","El Salvador","Food supply (kcal/capita/day)","Demersal Fish",0
"22039","Swaziland","Food supply (kcal/capita/day)","Demersal Fish",0
"22046","Libya","Food supply (kcal/capita/day)","Demersal Fish",6
"22050","Saint Vincent and the Grenadines","Food supply (kcal/capita/day)","Demersal Fish",2
"22056","Thailand","Food supply (kcal/capita/day)","Demersal Fish",1
"22061","Net Food Importing Developing Countries","Food supply (kcal/capita/day)","Demersal Fish",1
"22064","Madagascar","Food supply (kcal/capita/day)","Demersal Fish",0
"22071","Africa","Food supply (kcal/capita/day)","Demersal Fish",2
"22075","Burkina Faso","Food supply (kcal/capita/day)","Demersal Fish",0
"22079","Portugal","Food supply (kcal/capita/day)","Demersal Fish",38
"22083","Grenada","Food supply (kcal/capita/day)","Demersal Fish",14
"22084","Western Asia","Food supply (kcal/capita/day)","Demersal Fish",2
"22088","Hungary","Food supply (kcal/capita/day)","Demersal Fish",2
"22101","Barbados","Food supply (kcal/capita/day)","Demersal Fish",6
"22106","Iraq","Food supply (kcal/capita/day)","Demersal Fish",1
"22113","New Caledonia","Food supply (kcal/capita/day)","Demersal Fish",1
"22121","Lao People's Democratic Republic","Food supply (kcal/capita/day)","Demersal Fish",0
"22129","Congo","Food supply (kcal/capita/day)","Demersal Fish",12
"22130","China, mainland","Food supply (kcal/capita/day)","Demersal Fish",6
"22134","Iceland","Food supply (kcal/capita/day)","Demersal Fish",30
"22138","Benin","Food supply (kcal/capita/day)","Demersal Fish",1
"22141","Lithuania","Food supply (kcal/capita/day)","Demersal Fish",11
"22145","Saint Kitts and Nevis","Food supply (kcal/capita/day)","Demersal Fish",10
"22147","China, Macao SAR","Food supply (kcal/capita/day)","Demersal Fish",5
"22149","Japan","Food supply (kcal/capita/day)","Demersal Fish",39
"22154","Timor-Leste","Food supply (kcal/capita/day)","Demersal Fish",1
"22155","Albania","Food supply (kcal/capita/day)","Demersal Fish",1
"22158","Syrian Arab Republic","Food supply (kcal/capita/day)","Demersal Fish",0
"22167","Zimbabwe","Food supply (kcal/capita/day)","Demersal Fish",0
"22170","Zambia","Food supply (kcal/capita/day)","Demersal Fish",0
"22174","China, Taiwan Province of","Food supply (kcal/capita/day)","Demersal Fish",3
"22186","Kiribati","Food supply (kcal/capita/day)","Demersal Fish",23
"22192","Small Island Developing States","Food supply (kcal/capita/day)","Demersal Fish",2
"22200","Sao Tome and Principe","Food supply (kcal/capita/day)","Demersal Fish",5
"22217","Chad","Food supply (kcal/capita/day)","Demersal Fish",0
"22219","Bangladesh","Food supply (kcal/capita/day)","Demersal Fish",1
"22220","Montenegro","Food supply (kcal/capita/day)","Demersal Fish",1
"22221","Northern America","Food supply (kcal/capita/day)","Demersal Fish",10
"22226","Cyprus","Food supply (kcal/capita/day)","Demersal Fish",10
"22229","Sudan (former)","Food supply (kcal/capita/day)","Demersal Fish",0
"22235","Slovenia","Food supply (kcal/capita/day)","Demersal Fish",4
"22236","Saudi Arabia","Food supply (kcal/capita/day)","Demersal Fish",2
"22242","Low Income Food Deficit Countries","Food supply (kcal/capita/day)","Demersal Fish",2
"22245","Venezuela (Bolivarian Republic of)","Food supply (kcal/capita/day)","Demersal Fish",3
"22246","Brazil","Food supply (kcal/capita/day)","Demersal Fish",4
"22250","Croatia","Food supply (kcal/capita/day)","Demersal Fish",4
"22259","Guatemala","Food supply (kcal/capita/day)","Demersal Fish",0
"22262","Latvia","Food supply (kcal/capita/day)","Demersal Fish",7
"22265","Eastern Europe","Food supply (kcal/capita/day)","Demersal Fish",13
"22267","Pakistan","Food supply (kcal/capita/day)","Demersal Fish",0
"22268","Paraguay","Food supply (kcal/capita/day)","Demersal Fish",0
"22270","Nigeria","Food supply (kcal/capita/day)","Demersal Fish",7
"22271","Luxembourg","Food supply (kcal/capita/day)","Demersal Fish",12
"22273","Myanmar","Food supply (kcal/capita/day)","Demersal Fish",0
"22275","Turkey","Food supply (kcal/capita/day)","Demersal Fish",1
"22277","Lebanon","Food supply (kcal/capita/day)","Demersal Fish",1
"22279","South-Eastern Asia","Food supply (kcal/capita/day)","Demersal Fish",4
"22280","Saint Lucia","Food supply (kcal/capita/day)","Demersal Fish",2
"22282","Spain","Food supply (kcal/capita/day)","Demersal Fish",26
"22283","United Kingdom","Food supply (kcal/capita/day)","Demersal Fish",12
"22294","Ghana","Food supply (kcal/capita/day)","Demersal Fish",2
"22295","Kuwait","Food supply (kcal/capita/day)","Demersal Fish",1
"22301","Colombia","Food supply (kcal/capita/day)","Demersal Fish",0
"22306","Niger","Food supply (kcal/capita/day)","Demersal Fish",0
"22311","Eastern Asia","Food supply (kcal/capita/day)","Demersal Fish",10
"22315","Mexico","Food supply (kcal/capita/day)","Demersal Fish",1
"22317","Land Locked Developing Countries","Food supply (kcal/capita/day)","Demersal Fish",0
"22321","Liberia","Food supply (kcal/capita/day)","Demersal Fish",1
"22322","Southern Europe","Food supply (kcal/capita/day)","Demersal Fish",15
"22335","Americas","Food supply (kcal/capita/day)","Demersal Fish",5
"22338","Namibia","Food supply (kcal/capita/day)","Demersal Fish",1
"22344","Malawi","Food supply (kcal/capita/day)","Demersal Fish",0
"22346","China","Food supply (kcal/capita/day)","Demersal Fish",6
"22347","Côte d'Ivoire","Food supply (kcal/capita/day)","Demersal Fish",0
"22351","Greece","Food supply (kcal/capita/day)","Demersal Fish",7
"22355","Belgium","Food supply (kcal/capita/day)","Demersal Fish",16
"22371","Uzbekistan","Food supply (kcal/capita/day)","Demersal Fish",0
"22386","Peru","Food supply (kcal/capita/day)","Demersal Fish",2
"22403","Costa Rica","Food supply (kcal/capita/day)","Demersal Fish",1
"22404","Sierra Leone","Food supply (kcal/capita/day)","Demersal Fish",10
"22412","Somalia","Food supply (kcal/capita/day)","Demersal Fish",0
"22416","Western Africa","Food supply (kcal/capita/day)","Demersal Fish",5
"22423","Cabo Verde","Food supply (kcal/capita/day)","Demersal Fish",4
"22429","Samoa","Food supply (kcal/capita/day)","Demersal Fish",0
"22433","Sri Lanka","Food supply (kcal/capita/day)","Demersal Fish",2
"22435","Serbia","Food supply (kcal/capita/day)","Demersal Fish",1
"22442","Armenia","Food supply (kcal/capita/day)","Demersal Fish",0
"22449","New Zealand","Food supply (kcal/capita/day)","Demersal Fish",16
"22456","Republic of Moldova","Food supply (kcal/capita/day)","Demersal Fish",4
"22457","Argentina","Food supply (kcal/capita/day)","Demersal Fish",2
"22459","Bermuda","Food supply (kcal/capita/day)","Demersal Fish",9
"22460","Germany","Food supply (kcal/capita/day)","Demersal Fish",24
"22462","Western Europe","Food supply (kcal/capita/day)","Demersal Fish",25
"22464","Australia & New Zealand","Food supply (kcal/capita/day)","Demersal Fish",9
"22466","Algeria","Food supply (kcal/capita/day)","Demersal Fish",0
"22467","Israel","Food supply (kcal/capita/day)","Demersal Fish",9
"22474","European Union","Food supply (kcal/capita/day)","Demersal Fish",17
"22476","Viet Nam","Food supply (kcal/capita/day)","Demersal Fish",0
"22482","Netherlands","Food supply (kcal/capita/day)","Demersal Fish",13
"22486","South America","Food supply (kcal/capita/day)","Demersal Fish",3
"22496","Chile","Food supply (kcal/capita/day)","Demersal Fish",5
"22497","Maldives","Food supply (kcal/capita/day)","Demersal Fish",1
"22500","Republic of Korea","Food supply (kcal/capita/day)","Demersal Fish",47
"22506","Malaysia","Food supply (kcal/capita/day)","Demersal Fish",11
"22509","Polynesia","Food supply (kcal/capita/day)","Demersal Fish",0
"22512","Middle Africa","Food supply (kcal/capita/day)","Demersal Fish",4
"22540","United States of America","Food supply (kcal/capita/day)","Demersal Fish",10
"22543","Gambia","Food supply (kcal/capita/day)","Demersal Fish",7
"22554","Guyana","Food supply (kcal/capita/day)","Demersal Fish",3
"22561","Ireland","Food supply (kcal/capita/day)","Demersal Fish",12
"22570","Southern Africa","Food supply (kcal/capita/day)","Demersal Fish",1
"22576","Azerbaijan","Food supply (kcal/capita/day)","Demersal Fish",0
"22587","Mauritania","Food supply (kcal/capita/day)","Demersal Fish",1
"22600","Yemen","Food supply (kcal/capita/day)","Demersal Fish",1
"22606","Slovakia","Food supply (kcal/capita/day)","Demersal Fish",3
"22613","World","Food supply (kcal/capita/day)","Demersal Fish",6
"22617","Nepal","Food supply (kcal/capita/day)","Demersal Fish",0
"22620","Belarus","Food supply (kcal/capita/day)","Demersal Fish",5
"22621","Italy","Food supply (kcal/capita/day)","Demersal Fish",11
"22628","Romania","Food supply (kcal/capita/day)","Demersal Fish",1
"22643","Southern Asia","Food supply (kcal/capita/day)","Demersal Fish",1
"22648","Vanuatu","Food supply (kcal/capita/day)","Demersal Fish",0
"22650","Estonia","Food supply (kcal/capita/day)","Demersal Fish",9
"22653","Mauritius","Food supply (kcal/capita/day)","Demersal Fish",8
"22658","Least Developed Countries","Food supply (kcal/capita/day)","Demersal Fish",1
"22670","Dominica","Food supply (kcal/capita/day)","Demersal Fish",7
"22671","Suriname","Food supply (kcal/capita/day)","Fats, Animals, Raw",5
"22676","Central African Republic","Food supply (kcal/capita/day)","Fats, Animals, Raw",26
"22678","Poland","Food supply (kcal/capita/day)","Fats, Animals, Raw",122
"22679","South Africa","Food supply (kcal/capita/day)","Fats, Animals, Raw",5
"22682","Saudi Arabia","Food supply (kcal/capita/day)","Fats, Animals, Raw",10
"22683","Central America","Food supply (kcal/capita/day)","Fats, Animals, Raw",45
"22684","Panama","Food supply (kcal/capita/day)","Fats, Animals, Raw",90
"22688","United Kingdom","Food supply (kcal/capita/day)","Fats, Animals, Raw",54
"22690","Africa","Food supply (kcal/capita/day)","Fats, Animals, Raw",9
"22692","Spain","Food supply (kcal/capita/day)","Fats, Animals, Raw",26
"22703","Belarus","Food supply (kcal/capita/day)","Fats, Animals, Raw",72
"22706","Guatemala","Food supply (kcal/capita/day)","Fats, Animals, Raw",15
"22710","Estonia","Food supply (kcal/capita/day)","Fats, Animals, Raw",29
"22721","Guinea","Food supply (kcal/capita/day)","Fats, Animals, Raw",4
"22729","Ireland","Food supply (kcal/capita/day)","Fats, Animals, Raw",71
"22735","Barbados","Food supply (kcal/capita/day)","Fats, Animals, Raw",52
"22744","The former Yugoslav Republic of Macedonia","Food supply (kcal/capita/day)","Fats, Animals, Raw",58
"22758","China, Hong Kong SAR","Food supply (kcal/capita/day)","Fats, Animals, Raw",71
"22759","Bulgaria","Food supply (kcal/capita/day)","Fats, Animals, Raw",100
"22760","Occupied Palestinian Territory","Food supply (kcal/capita/day)","Fats, Animals, Raw",3
"22768","Nepal","Food supply (kcal/capita/day)","Fats, Animals, Raw",13
"22769","Turkmenistan","Food supply (kcal/capita/day)","Fats, Animals, Raw",46
"22774","Timor-Leste","Food supply (kcal/capita/day)","Fats, Animals, Raw",10
"22783","Solomon Islands","Food supply (kcal/capita/day)","Fats, Animals, Raw",19
"22788","Melanesia","Food supply (kcal/capita/day)","Fats, Animals, Raw",36
"22793","Egypt","Food supply (kcal/capita/day)","Fats, Animals, Raw",5
"22796","Saint Kitts and Nevis","Food supply (kcal/capita/day)","Fats, Animals, Raw",30
"22807","Central Asia","Food supply (kcal/capita/day)","Fats, Animals, Raw",27
"22808","European Union","Food supply (kcal/capita/day)","Fats, Animals, Raw",94
"22820","Mali","Food supply (kcal/capita/day)","Fats, Animals, Raw",14
"22828","Cuba","Food supply (kcal/capita/day)","Fats, Animals, Raw",14
"22837","Benin","Food supply (kcal/capita/day)","Fats, Animals, Raw",4
"22838","Norway","Food supply (kcal/capita/day)","Fats, Animals, Raw",140
"22839","Malaysia","Food supply (kcal/capita/day)","Fats, Animals, Raw",14
"22850","Paraguay","Food supply (kcal/capita/day)","Fats, Animals, Raw",85
