,Row,Study,Data_Type,Location,Method,Portion_of_plant,Year.of.study,Crop,Elevated_CO2_Target_ppm,Elevated_CO2_Achieved_ppm,Ambient_CO2_ppm,FACE_ring_diameter_m,code,Level1,Level2,Level3,WateringRegime,Pptn,Irrign,TotH2O,NapplicnQ,Napplicn,TOS,Cultivar,potsfield,nightFACE,Zn,Fe,N,P,K,S,B,Ca,Mg,Mn,Cu,Yield,CorrYield,protein,CO2treatment,LocYrCrL1L2L3WNTC,LocYrCrL1L2WNTC,LocYrCrL1WNTC,LocYrCrWNTC
102,615,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2002,soybean,550,551.8,370,20,102,3,28,18,Dry,363.1,0,363.1,Low,0,31/05/1998,Spencer,check,,36.4,71.1,6.54,0.647,2.18,3040,38.8,0.192,0.218,25.2,13.6,NA,NA,NA,eCO2,Champaign__Illinois 2002 soybean 3 28 18 Dry Low 31/05/1998 Spencer,Champaign__Illinois 2002 soybean 3 28 Dry Low 31/05/1998 Spencer,Champaign__Illinois 2002 soybean 3 Dry Low 31/05/1998 Spencer,Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Spencer
103,616,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2002,soybean,550,551.8,370,20,103,4,29,10,Dry,363.1,0,363.1,Low,0,31/05/1998,Spencer,check,,30.8,71.4,6.44,0.564,2.04,2960,41.4,0.218,0.216,32,9.3,NA,NA,NA,eCO2,Champaign__Illinois 2002 soybean 4 29 10 Dry Low 31/05/1998 Spencer,Champaign__Illinois 2002 soybean 4 29 Dry Low 31/05/1998 Spencer,Champaign__Illinois 2002 soybean 4 Dry Low 31/05/1998 Spencer,Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Spencer
104,617,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2002,soybean,550,551.8,370,20,104,4,32,19,Dry,363.1,0,363.1,Low,0,31/05/1998,Spencer,check,,37.6,73,6.61,0.597,2.01,3130,41.4,0.217,0.212,26.6,13.2,NA,NA,NA,aCO2,Champaign__Illinois 2002 soybean 4 32 19 Dry Low 31/05/1998 Spencer,Champaign__Illinois 2002 soybean 4 32 Dry Low 31/05/1998 Spencer,Champaign__Illinois 2002 soybean 4 Dry Low 31/05/1998 Spencer,Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Spencer
105,618,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2002,soybean,550,551.8,370,20,105,1,17,19,Dry,363.1,0,363.1,Low,0,31/05/1998,Williams,check,,34,73.2,6.76,0.536,1.95,3110,43.2,0.233,0.213,26.7,12.5,NA,NA,NA,aCO2,Champaign__Illinois 2002 soybean 1 17 19 Dry Low 31/05/1998 Williams,Champaign__Illinois 2002 soybean 1 17 Dry Low 31/05/1998 Williams,Champaign__Illinois 2002 soybean 1 Dry Low 31/05/1998 Williams,Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Williams
106,619,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2002,soybean,550,551.8,370,20,106,1,20,16,Dry,363.1,0,363.1,Low,0,31/05/1998,Williams,check,,31.8,73.1,6.62,0.526,1.9,2970,41.7,0.23,0.201,23.4,11.5,NA,NA,NA,eCO2,Champaign__Illinois 2002 soybean 1 20 16 Dry Low 31/05/1998 Williams,Champaign__Illinois 2002 soybean 1 20 Dry Low 31/05/1998 Williams,Champaign__Illinois 2002 soybean 1 Dry Low 31/05/1998 Williams,Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Williams
107,620,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2002,soybean,550,551.8,370,20,107,2,21,10,Dry,363.1,0,363.1,Low,0,31/05/1998,Williams,check,,34.8,72.1,6.64,0.561,1.99,3050,43.2,0.222,0.205,28.9,12.6,NA,NA,NA,eCO2,Champaign__Illinois 2002 soybean 2 21 10 Dry Low 31/05/1998 Williams,Champaign__Illinois 2002 soybean 2 21 Dry Low 31/05/1998 Williams,Champaign__Illinois 2002 soybean 2 Dry Low 31/05/1998 Williams,Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Williams
108,621,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2002,soybean,550,551.8,370,20,108,2,24,15,Dry,363.1,0,363.1,Low,0,31/05/1998,Williams,check,,35.2,62.9,7,0.594,2,3240,43.7,0.211,0.204,25.9,12.5,NA,NA,NA,aCO2,Champaign__Illinois 2002 soybean 2 24 15 Dry Low 31/05/1998 Williams,Champaign__Illinois 2002 soybean 2 24 Dry Low 31/05/1998 Williams,Champaign__Illinois 2002 soybean 2 Dry Low 31/05/1998 Williams,Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Williams
109,622,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2002,soybean,550,551.8,370,20,109,3,25,13,Dry,363.1,0,363.1,Low,0,31/05/1998,Williams,check,,34.3,75.7,6.74,0.491,1.93,3200,42.2,0.23,0.208,28.1,12.4,NA,NA,NA,aCO2,Champaign__Illinois 2002 soybean 3 25 13 Dry Low 31/05/1998 Williams,Champaign__Illinois 2002 soybean 3 25 Dry Low 31/05/1998 Williams,Champaign__Illinois 2002 soybean 3 Dry Low 31/05/1998 Williams,Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Williams
110,623,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2002,soybean,550,551.8,370,20,110,3,28,5,Dry,363.1,0,363.1,Low,0,31/05/1998,Williams,check,,33.2,69.9,6.71,0.55,1.96,2900,37.6,0.202,0.2,23.1,12.8,NA,NA,NA,eCO2,Champaign__Illinois 2002 soybean 3 28 5 Dry Low 31/05/1998 Williams,Champaign__Illinois 2002 soybean 3 28 Dry Low 31/05/1998 Williams,Champaign__Illinois 2002 soybean 3 Dry Low 31/05/1998 Williams,Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Williams
111,624,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2002,soybean,550,551.8,370,20,111,4,29,13,Dry,363.1,0,363.1,Low,0,31/05/1998,Williams,check,,30.1,74.1,6.43,0.539,1.99,3060,43.2,0.227,0.205,29.7,10.2,NA,NA,NA,eCO2,Champaign__Illinois 2002 soybean 4 29 13 Dry Low 31/05/1998 Williams,Champaign__Illinois 2002 soybean 4 29 Dry Low 31/05/1998 Williams,Champaign__Illinois 2002 soybean 4 Dry Low 31/05/1998 Williams,Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Williams
112,625,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2002,soybean,550,551.8,370,20,112,4,32,6,Dry,363.1,0,363.1,Low,0,31/05/1998,Williams,check,,34.4,66.8,6.59,0.507,1.84,3070,45.9,0.262,0.197,24.7,12.2,NA,NA,NA,aCO2,Champaign__Illinois 2002 soybean 4 32 6 Dry Low 31/05/1998 Williams,Champaign__Illinois 2002 soybean 4 32 Dry Low 31/05/1998 Williams,Champaign__Illinois 2002 soybean 4 Dry Low 31/05/1998 Williams,Champaign__Illinois 2002 soybean Dry Low 31/05/1998 Williams
113,626,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2004,soybean,550,550,375,20,113,1,20,2,Dry,431.4,0,431.4,Low,0,27/05/2000,Clark,check,,40,69.2,6.48,0.504,1.87,2990,41.7,0.256,0.2,22.8,14.9,NA,NA,NA,eCO2,Champaign__Illinois 2004 soybean 1 20 2 Dry Low 27/05/2000 Clark,Champaign__Illinois 2004 soybean 1 20 Dry Low 27/05/2000 Clark,Champaign__Illinois 2004 soybean 1 Dry Low 27/05/2000 Clark,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Clark
114,627,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2004,soybean,550,550,375,20,114,2,21,19,Dry,431.4,0,431.4,Low,0,27/05/2000,Clark,check,,36.5,66.3,6.54,0.505,1.86,2910,41.4,0.26,0.208,24.6,13.1,NA,NA,NA,eCO2,Champaign__Illinois 2004 soybean 2 21 19 Dry Low 27/05/2000 Clark,Champaign__Illinois 2004 soybean 2 21 Dry Low 27/05/2000 Clark,Champaign__Illinois 2004 soybean 2 Dry Low 27/05/2000 Clark,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Clark
115,628,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2004,soybean,550,550,375,20,115,2,24,4,Dry,431.4,0,431.4,Low,0,27/05/2000,Clark,check,,35.1,74.4,6.13,0.531,1.82,2850,43.9,0.289,0.222,24.7,14.3,NA,NA,NA,aCO2,Champaign__Illinois 2004 soybean 2 24 4 Dry Low 27/05/2000 Clark,Champaign__Illinois 2004 soybean 2 24 Dry Low 27/05/2000 Clark,Champaign__Illinois 2004 soybean 2 Dry Low 27/05/2000 Clark,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Clark
116,629,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2004,soybean,550,550,375,20,116,3,25,15,Dry,431.4,0,431.4,Low,0,27/05/2000,Clark,check,,38,73.1,6.53,0.505,1.97,3240,43.4,0.268,0.222,29.9,14.3,NA,NA,NA,aCO2,Champaign__Illinois 2004 soybean 3 25 15 Dry Low 27/05/2000 Clark,Champaign__Illinois 2004 soybean 3 25 Dry Low 27/05/2000 Clark,Champaign__Illinois 2004 soybean 3 Dry Low 27/05/2000 Clark,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Clark
117,630,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2004,soybean,550,550,375,20,117,3,28,11,Dry,431.4,0,431.4,Low,0,27/05/2000,Clark,check,,37.7,67,6.47,0.556,1.95,3110,40.2,0.264,0.21,23.4,14.7,NA,NA,NA,eCO2,Champaign__Illinois 2004 soybean 3 28 11 Dry Low 27/05/2000 Clark,Champaign__Illinois 2004 soybean 3 28 Dry Low 27/05/2000 Clark,Champaign__Illinois 2004 soybean 3 Dry Low 27/05/2000 Clark,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Clark
118,631,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2004,soybean,550,550,375,20,118,4,29,9,Dry,431.4,0,431.4,Low,0,27/05/2000,Clark,check,,37.2,70.6,6.45,0.592,1.96,3100,40.6,0.269,0.214,28.3,12.3,NA,NA,NA,eCO2,Champaign__Illinois 2004 soybean 4 29 9 Dry Low 27/05/2000 Clark,Champaign__Illinois 2004 soybean 4 29 Dry Low 27/05/2000 Clark,Champaign__Illinois 2004 soybean 4 Dry Low 27/05/2000 Clark,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Clark
119,632,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2004,soybean,550,550,375,20,119,1,17,5,Dry,431.4,0,431.4,Low,0,27/05/2000,Dwight,check,,36.3,78.6,5.96,0.535,1.86,2980,44.7,0.337,0.235,28.8,14.9,NA,NA,NA,aCO2,Champaign__Illinois 2004 soybean 1 17 5 Dry Low 27/05/2000 Dwight,Champaign__Illinois 2004 soybean 1 17 Dry Low 27/05/2000 Dwight,Champaign__Illinois 2004 soybean 1 Dry Low 27/05/2000 Dwight,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Dwight
120,633,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2004,soybean,550,550,375,20,120,1,20,18,Dry,431.4,0,431.4,Low,0,27/05/2000,Dwight,check,,35.3,69.2,6.43,0.547,1.81,2970,44,0.291,0.215,27.1,14.2,NA,NA,NA,eCO2,Champaign__Illinois 2004 soybean 1 20 18 Dry Low 27/05/2000 Dwight,Champaign__Illinois 2004 soybean 1 20 Dry Low 27/05/2000 Dwight,Champaign__Illinois 2004 soybean 1 Dry Low 27/05/2000 Dwight,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Dwight
121,634,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2004,soybean,550,550,375,20,121,2,21,1,Dry,431.4,0,431.4,Low,0,27/05/2000,Dwight,check,,33.7,76.4,6.22,0.471,1.9,2870,42,0.266,0.211,29.2,13.7,NA,NA,NA,eCO2,Champaign__Illinois 2004 soybean 2 21 1 Dry Low 27/05/2000 Dwight,Champaign__Illinois 2004 soybean 2 21 Dry Low 27/05/2000 Dwight,Champaign__Illinois 2004 soybean 2 Dry Low 27/05/2000 Dwight,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Dwight
122,635,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2004,soybean,550,550,375,20,122,2,24,22,Dry,431.4,0,431.4,Low,0,27/05/2000,Dwight,check,,38.7,72.8,6,0.587,1.92,3010,43.7,0.289,0.227,25.5,15.2,NA,NA,NA,aCO2,Champaign__Illinois 2004 soybean 2 24 22 Dry Low 27/05/2000 Dwight,Champaign__Illinois 2004 soybean 2 24 Dry Low 27/05/2000 Dwight,Champaign__Illinois 2004 soybean 2 Dry Low 27/05/2000 Dwight,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Dwight
123,636,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2004,soybean,550,550,375,20,123,3,25,5,Dry,431.4,0,431.4,Low,0,27/05/2000,Dwight,check,,32.5,74.2,6.17,0.435,1.88,2980,39.2,0.291,0.216,31.7,13.6,NA,NA,NA,aCO2,Champaign__Illinois 2004 soybean 3 25 5 Dry Low 27/05/2000 Dwight,Champaign__Illinois 2004 soybean 3 25 Dry Low 27/05/2000 Dwight,Champaign__Illinois 2004 soybean 3 Dry Low 27/05/2000 Dwight,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Dwight
124,637,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2004,soybean,550,550,375,20,124,3,28,20,Dry,431.4,0,431.4,Low,0,27/05/2000,Dwight,check,,37.8,67.6,6.22,0.57,1.82,2920,42.2,0.287,0.215,26.9,13.9,NA,NA,NA,eCO2,Champaign__Illinois 2004 soybean 3 28 20 Dry Low 27/05/2000 Dwight,Champaign__Illinois 2004 soybean 3 28 Dry Low 27/05/2000 Dwight,Champaign__Illinois 2004 soybean 3 Dry Low 27/05/2000 Dwight,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Dwight
125,638,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2004,soybean,550,550,375,20,125,4,29,5,Dry,431.4,0,431.4,Low,0,27/05/2000,Dwight,check,,33.5,76.2,6.17,0.546,1.9,2930,43.6,0.287,0.223,32.7,13.6,NA,NA,NA,eCO2,Champaign__Illinois 2004 soybean 4 29 5 Dry Low 27/05/2000 Dwight,Champaign__Illinois 2004 soybean 4 29 Dry Low 27/05/2000 Dwight,Champaign__Illinois 2004 soybean 4 Dry Low 27/05/2000 Dwight,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Dwight
126,639,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2004,soybean,550,550,375,20,126,4,32,21,Dry,431.4,0,431.4,Low,0,27/05/2000,Dwight,check,,40.5,73.5,5.53,0.625,1.99,2930,43.8,0.323,0.236,28.7,15.8,NA,NA,NA,aCO2,Champaign__Illinois 2004 soybean 4 32 21 Dry Low 27/05/2000 Dwight,Champaign__Illinois 2004 soybean 4 32 Dry Low 27/05/2000 Dwight,Champaign__Illinois 2004 soybean 4 Dry Low 27/05/2000 Dwight,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Dwight
127,640,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2004,soybean,550,550,375,20,127,1,17,10,Dry,431.4,0,431.4,Low,0,27/05/2000,Flyer,check,,34.5,74.4,6.37,0.527,1.89,3320,42.2,0.248,0.207,23.5,12.9,NA,NA,NA,aCO2,Champaign__Illinois 2004 soybean 1 17 10 Dry Low 27/05/2000 Flyer,Champaign__Illinois 2004 soybean 1 17 Dry Low 27/05/2000 Flyer,Champaign__Illinois 2004 soybean 1 Dry Low 27/05/2000 Flyer,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Flyer
128,641,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2004,soybean,550,550,375,20,128,1,20,8,Dry,431.4,0,431.4,Low,0,27/05/2000,Flyer,check,,34.4,69.3,6.61,0.549,1.83,3300,41.6,0.24,0.194,22.2,13.1,NA,NA,NA,eCO2,Champaign__Illinois 2004 soybean 1 20 8 Dry Low 27/05/2000 Flyer,Champaign__Illinois 2004 soybean 1 20 Dry Low 27/05/2000 Flyer,Champaign__Illinois 2004 soybean 1 Dry Low 27/05/2000 Flyer,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Flyer
129,642,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2004,soybean,550,550,375,20,129,2,21,14,Dry,431.4,0,431.4,Low,0,27/05/2000,Flyer,check,,33.6,75.1,6.83,0.497,1.86,3250,37.9,0.229,0.201,25.2,12.6,NA,NA,NA,eCO2,Champaign__Illinois 2004 soybean 2 21 14 Dry Low 27/05/2000 Flyer,Champaign__Illinois 2004 soybean 2 21 Dry Low 27/05/2000 Flyer,Champaign__Illinois 2004 soybean 2 Dry Low 27/05/2000 Flyer,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Flyer
130,643,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2004,soybean,550,550,375,20,130,2,24,7,Dry,431.4,0,431.4,Low,0,27/05/2000,Flyer,check,,37.3,70.6,6.73,0.554,1.75,3370,40.6,0.255,0.199,21.1,14.1,NA,NA,NA,aCO2,Champaign__Illinois 2004 soybean 2 24 7 Dry Low 27/05/2000 Flyer,Champaign__Illinois 2004 soybean 2 24 Dry Low 27/05/2000 Flyer,Champaign__Illinois 2004 soybean 2 Dry Low 27/05/2000 Flyer,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Flyer
131,644,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2004,soybean,550,550,375,20,131,3,25,10,Dry,431.4,0,431.4,Low,0,27/05/2000,Flyer,check,,34.4,72.2,6.68,0.46,1.77,3310,40.3,0.246,0.191,25.3,11.8,NA,NA,NA,aCO2,Champaign__Illinois 2004 soybean 3 25 10 Dry Low 27/05/2000 Flyer,Champaign__Illinois 2004 soybean 3 25 Dry Low 27/05/2000 Flyer,Champaign__Illinois 2004 soybean 3 Dry Low 27/05/2000 Flyer,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Flyer
132,645,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2004,soybean,550,550,375,20,132,3,28,4,Dry,431.4,0,431.4,Low,0,27/05/2000,Flyer,check,,34.6,71.6,6.5,0.583,1.84,3240,39.2,0.234,0.203,21.5,12.6,NA,NA,NA,eCO2,Champaign__Illinois 2004 soybean 3 28 4 Dry Low 27/05/2000 Flyer,Champaign__Illinois 2004 soybean 3 28 Dry Low 27/05/2000 Flyer,Champaign__Illinois 2004 soybean 3 Dry Low 27/05/2000 Flyer,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Flyer
133,646,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2004,soybean,550,550,375,20,133,4,29,11,Dry,431.4,0,431.4,Low,0,27/05/2000,Flyer,check,,32.6,67.2,6.66,0.571,1.85,3110,35.5,0.242,0.195,26.4,10.5,NA,NA,NA,eCO2,Champaign__Illinois 2004 soybean 4 29 11 Dry Low 27/05/2000 Flyer,Champaign__Illinois 2004 soybean 4 29 Dry Low 27/05/2000 Flyer,Champaign__Illinois 2004 soybean 4 Dry Low 27/05/2000 Flyer,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Flyer
134,647,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2004,soybean,550,550,375,20,134,1,17,6,Dry,431.4,0,431.4,Low,0,27/05/2000,Loda,check,,39.7,83.7,6.2,0.565,1.9,3170,39.5,0.261,0.24,27.3,15.6,NA,NA,NA,aCO2,Champaign__Illinois 2004 soybean 1 17 6 Dry Low 27/05/2000 Loda,Champaign__Illinois 2004 soybean 1 17 Dry Low 27/05/2000 Loda,Champaign__Illinois 2004 soybean 1 Dry Low 27/05/2000 Loda,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Loda
135,648,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2004,soybean,550,550,375,20,135,1,20,22,Dry,431.4,0,431.4,Low,0,27/05/2000,Loda,check,,36.5,77.4,6.4,0.573,1.74,3040,35.1,0.222,0.217,23.8,14.1,NA,NA,NA,eCO2,Champaign__Illinois 2004 soybean 1 20 22 Dry Low 27/05/2000 Loda,Champaign__Illinois 2004 soybean 1 20 Dry Low 27/05/2000 Loda,Champaign__Illinois 2004 soybean 1 Dry Low 27/05/2000 Loda,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Loda
136,649,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2004,soybean,550,550,375,20,136,2,21,6,Dry,431.4,0,431.4,Low,0,27/05/2000,Loda,check,,33.9,75,6.5,0.534,1.81,3110,34.3,0.205,0.215,25.9,13.3,NA,NA,NA,eCO2,Champaign__Illinois 2004 soybean 2 21 6 Dry Low 27/05/2000 Loda,Champaign__Illinois 2004 soybean 2 21 Dry Low 27/05/2000 Loda,Champaign__Illinois 2004 soybean 2 Dry Low 27/05/2000 Loda,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Loda
137,650,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2004,soybean,550,550,375,20,137,2,24,17,Dry,431.4,0,431.4,Low,0,27/05/2000,Loda,check,,38.4,80.6,6.22,0.627,1.87,3070,37.9,0.231,0.228,22.3,14.8,NA,NA,NA,aCO2,Champaign__Illinois 2004 soybean 2 24 17 Dry Low 27/05/2000 Loda,Champaign__Illinois 2004 soybean 2 24 Dry Low 27/05/2000 Loda,Champaign__Illinois 2004 soybean 2 Dry Low 27/05/2000 Loda,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Loda
138,651,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2004,soybean,550,550,375,20,138,3,25,6,Dry,431.4,0,431.4,Low,0,27/05/2000,Loda,check,,36.1,83.7,6.31,0.486,1.85,3180,35.7,0.222,0.232,28.5,13.8,NA,NA,NA,aCO2,Champaign__Illinois 2004 soybean 3 25 6 Dry Low 27/05/2000 Loda,Champaign__Illinois 2004 soybean 3 25 Dry Low 27/05/2000 Loda,Champaign__Illinois 2004 soybean 3 Dry Low 27/05/2000 Loda,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Loda
139,652,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2004,soybean,550,550,375,20,139,3,28,17,Dry,431.4,0,431.4,Low,0,27/05/2000,Loda,check,,35.7,78.3,6.21,0.604,1.85,3080,34.2,0.223,0.226,22.5,13.8,NA,NA,NA,eCO2,Champaign__Illinois 2004 soybean 3 28 17 Dry Low 27/05/2000 Loda,Champaign__Illinois 2004 soybean 3 28 Dry Low 27/05/2000 Loda,Champaign__Illinois 2004 soybean 3 Dry Low 27/05/2000 Loda,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Loda
140,653,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2004,soybean,550,550,375,20,140,4,29,2,Dry,431.4,0,431.4,Low,0,27/05/2000,Loda,check,,36.7,89.5,6.16,0.635,1.91,3080,37.4,0.228,0.236,28.5,14.2,NA,NA,NA,eCO2,Champaign__Illinois 2004 soybean 4 29 2 Dry Low 27/05/2000 Loda,Champaign__Illinois 2004 soybean 4 29 Dry Low 27/05/2000 Loda,Champaign__Illinois 2004 soybean 4 Dry Low 27/05/2000 Loda,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Loda
141,654,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2004,soybean,550,550,375,20,141,4,32,19,Dry,431.4,0,431.4,Low,0,27/05/2000,Loda,check,,41.9,83.9,5.87,0.654,1.91,3130,37.2,0.262,0.239,25.6,16.7,NA,NA,NA,aCO2,Champaign__Illinois 2004 soybean 4 32 19 Dry Low 27/05/2000 Loda,Champaign__Illinois 2004 soybean 4 32 Dry Low 27/05/2000 Loda,Champaign__Illinois 2004 soybean 4 Dry Low 27/05/2000 Loda,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Loda
142,655,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2004,soybean,550,550,375,20,142,1,17,16,Dry,431.4,0,431.4,Low,0,27/05/2000,Pana,check,,40,82.7,6.02,0.526,1.79,3050,45.5,0.326,0.235,26.2,15.6,NA,NA,NA,aCO2,Champaign__Illinois 2004 soybean 1 17 16 Dry Low 27/05/2000 Pana,Champaign__Illinois 2004 soybean 1 17 Dry Low 27/05/2000 Pana,Champaign__Illinois 2004 soybean 1 Dry Low 27/05/2000 Pana,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Pana
143,656,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2004,soybean,550,550,375,20,143,1,20,7,Dry,431.4,0,431.4,Low,0,27/05/2000,Pana,check,,40.8,78.5,6.29,0.581,1.74,3130,43.7,0.351,0.233,24.4,17.1,NA,NA,NA,eCO2,Champaign__Illinois 2004 soybean 1 20 7 Dry Low 27/05/2000 Pana,Champaign__Illinois 2004 soybean 1 20 Dry Low 27/05/2000 Pana,Champaign__Illinois 2004 soybean 1 Dry Low 27/05/2000 Pana,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Pana
144,657,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2004,soybean,550,550,375,20,144,2,21,17,Dry,431.4,0,431.4,Low,0,27/05/2000,Pana,check,,36.7,80.1,6.37,0.46,1.69,3020,41.4,0.328,0.219,28,13.9,NA,NA,NA,eCO2,Champaign__Illinois 2004 soybean 2 21 17 Dry Low 27/05/2000 Pana,Champaign__Illinois 2004 soybean 2 21 Dry Low 27/05/2000 Pana,Champaign__Illinois 2004 soybean 2 Dry Low 27/05/2000 Pana,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Pana
145,658,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2004,soybean,550,550,375,20,145,2,24,5,Dry,431.4,0,431.4,Low,0,27/05/2000,Pana,check,,43.5,80.4,6.06,0.641,1.8,3170,45.2,0.359,0.236,24.4,17.3,NA,NA,NA,aCO2,Champaign__Illinois 2004 soybean 2 24 5 Dry Low 27/05/2000 Pana,Champaign__Illinois 2004 soybean 2 24 Dry Low 27/05/2000 Pana,Champaign__Illinois 2004 soybean 2 Dry Low 27/05/2000 Pana,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Pana
146,659,SoyFACE_Soy,PrimaryData_RawData,Champaign__Illinois,FACE,grain,2004,soybean,550,550,375,20,146,3,25,12,Dry,431.4,0,431.4,Low,0,27/05/2000,Pana,check,,40.2,81.9,6.4,0.488,1.72,3110,43.4,0.337,0.235,31.5,14.8,NA,NA,NA,aCO2,Champaign__Illinois 2004 soybean 3 25 12 Dry Low 27/05/2000 Pana,Champaign__Illinois 2004 soybean 3 25 Dry Low 27/05/2000 Pana,Champaign__Illinois 2004 soybean 3 Dry Low 27/05/2000 Pana,Champaign__Illinois 2004 soybean Dry Low 27/05/2000 Pana
